0.426974,0.496479,0.544286,0.584655,0.534732,0.567506,0.592782,0.618876,0.371370,0.349368,0.266093,0.196300,0.234495,0.176399,0.127062,0.106575,0.105534,0.060445,0.049784,0.036376,0.045923,0.044401,0.039872,0.057435,0.052200,0.050909,0.067668,0.075381,0.087331,0.096266,0.077715,0.079285,0.081736,0.082392,0.081092,0.083882,0.083699,0.088568,0.092833,0.087450,0.086418,0.097803,0.100539,0.092456,0.105319,0.147763,0.126916,0.095032
0.468303,0.525802,0.611683,0.660147,0.614869,0.660576,0.698875,0.730009,0.475962,0.448759,0.345380,0.267250,0.296621,0.246224,0.181076,0.148554,0.134065,0.074131,0.066665,0.052711,0.059902,0.059359,0.057312,0.063656,0.064161,0.065961,0.081421,0.091550,0.105657,0.116264,0.090674,0.092414,0.095565,0.095801,0.096832,0.100448,0.099190,0.104366,0.108504,0.099329,0.099308,0.112797,0.116043,0.106950,0.124093,0.166315,0.155085,0.105732
0.500632,0.545784,0.631743,0.678741,0.660489,0.702815,0.741956,0.780091,0.522950,0.507695,0.393804,0.307289,0.339755,0.289549,0.214392,0.173114,0.157205,0.081457,0.073701,0.061293,0.067273,0.066567,0.066137,0.069089,0.071552,0.074534,0.089527,0.102185,0.118768,0.130441,0.099924,0.101371,0.104791,0.105306,0.107925,0.111837,0.110227,0.115569,0.119901,0.108949,0.109574,0.124494,0.127324,0.117956,0.137341,0.179393,0.173724,0.113363
0.505743,0.513931,0.609678,0.629181,0.685724,0.711154,0.749877,0.799900,0.573860,0.570631,0.457898,0.381450,0.422277,0.365757,0.276580,0.226233,0.216309,0.103503,0.094486,0.089186,0.088852,0.088169,0.089759,0.085383,0.087357,0.093746,0.113817,0.132026,0.154339,0.169156,0.129974,0.131913,0.136506,0.139796,0.143787,0.148669,0.146273,0.151203,0.158842,0.145230,0.146827,0.166490,0.169083,0.162486,0.182481,0.218588,0.215390,0.136196
0.414730,0.411791,0.504730,0.520076,0.586203,0.610374,0.650445,0.695955,0.531173,0.547854,0.481009,0.408307,0.443291,0.385187,0.291410,0.248273,0.244939,0.132379,0.126378,0.132007,0.128592,0.121942,0.132720,0.108686,0.113039,0.124991,0.148306,0.167420,0.192964,0.210402,0.163071,0.166914,0.173334,0.178986,0.183637,0.189907,0.186037,0.190538,0.202644,0.188365,0.191238,0.215939,0.216519,0.210802,0.223877,0.236271,0.226597,0.151805
0.398850,0.393156,0.452356,0.460406,0.528602,0.549745,0.588286,0.632253,0.473142,0.492130,0.454117,0.397951,0.422199,0.376010,0.296510,0.256231,0.251578,0.144528,0.136969,0.152229,0.142329,0.133139,0.145727,0.118556,0.123250,0.135391,0.164618,0.187287,0.216903,0.238122,0.184951,0.188646,0.194634,0.201656,0.203614,0.209234,0.204668,0.209156,0.224105,0.211621,0.214543,0.242375,0.242836,0.236856,0.246064,0.250726,0.230003,0.156603
0.349592,0.343727,0.381998,0.384500,0.442710,0.461845,0.498216,0.532706,0.403717,0.425505,0.415272,0.376977,0.374902,0.347938,0.284316,0.250646,0.251140,0.157946,0.149666,0.167462,0.154698,0.143321,0.154803,0.133192,0.137420,0.151001,0.183955,0.210852,0.244232,0.267035,0.208306,0.212949,0.219192,0.227294,0.226706,0.231713,0.226520,0.230168,0.247876,0.236087,0.238976,0.270470,0.269118,0.268459,0.274728,0.263711,0.235698,0.160803
0.305614,0.303399,0.339008,0.339861,0.382391,0.401349,0.437945,0.462400,0.354827,0.372303,0.389111,0.355993,0.333530,0.326619,0.274007,0.249090,0.240221,0.166420,0.159359,0.177060,0.160813,0.152562,0.166061,0.139384,0.146575,0.160573,0.196276,0.221432,0.251901,0.275507,0.214285,0.218382,0.224758,0.233633,0.231486,0.236144,0.231271,0.235188,0.255037,0.246364,0.250625,0.284007,0.283052,0.283551,0.286830,0.266787,0.231413,0.160070
0.263226,0.261026,0.291446,0.293743,0.327687,0.346693,0.380825,0.405894,0.304277,0.324894,0.354647,0.324375,0.294071,0.301729,0.253517,0.230911,0.232630,0.168099,0.160875,0.180868,0.162569,0.158769,0.172273,0.149295,0.159039,0.176248,0.210913,0.237599,0.269822,0.295822,0.233247,0.236382,0.241454,0.249232,0.245814,0.250440,0.244964,0.249289,0.269897,0.260404,0.264447,0.298935,0.297632,0.295133,0.295240,0.265382,0.229678,0.163761
0.251686,0.248789,0.269944,0.270857,0.297871,0.315443,0.349640,0.371031,0.282279,0.299380,0.331540,0.301391,0.266587,0.276236,0.234425,0.218618,0.214310,0.163830,0.154235,0.169043,0.152705,0.151712,0.162244,0.156536,0.161889,0.177617,0.213156,0.244570,0.277008,0.303143,0.242101,0.245829,0.250526,0.260025,0.256893,0.261080,0.256012,0.260062,0.281651,0.272850,0.277851,0.313097,0.310595,0.306905,0.305852,0.273696,0.233266,0.166554
