1.000000,0.872251,0.698979,0.667893,0.593985,0.569086,0.383500,0.209144,0.110389,0.105692,0.083911,0.097454,0.049807,0.040963,0.043538,0.052634,0.056481,0.075482,0.075514,0.099917,0.110013,0.110781,0.123755,0.118834,0.137440,0.140067,0.151504,0.156808,0.151793,0.159869,0.139470,0.184790,0.184785,0.086997
0.872251,1.000000,0.742561,0.724821,0.661452,0.637295,0.432633,0.258657,0.151198,0.146689,0.108282,0.119234,0.065042,0.053777,0.062435,0.064205,0.069689,0.091854,0.092297,0.118801,0.127994,0.128450,0.144620,0.142014,0.164867,0.169465,0.182905,0.190632,0.185830,0.195420,0.167819,0.216728,0.221489,0.097709
0.698979,0.742561,1.000000,0.951167,0.851391,0.836589,0.511587,0.280841,0.143431,0.139749,0.103609,0.087129,0.047530,0.037553,0.052796,0.046719,0.053590,0.070137,0.069505,0.092048,0.101406,0.102225,0.117454,0.111684,0.125268,0.129417,0.140244,0.144577,0.139808,0.147645,0.124996,0.158433,0.160393,0.071458
0.667893,0.724821,0.951167,1.000000,0.835782,0.836979,0.498995,0.287308,0.152561,0.143078,0.107017,0.089525,0.046723,0.035983,0.054275,0.048715,0.055808,0.074094,0.074433,0.098976,0.103661,0.103792,0.118472,0.112888,0.126724,0.131164,0.142062,0.146928,0.142385,0.150647,0.129537,0.162143,0.164862,0.071986
0.593985,0.661452,0.851391,0.835782,1.000000,0.795800,0.459455,0.274450,0.149956,0.133656,0.101436,0.079590,0.045602,0.033469,0.058871,0.050460,0.057244,0.071067,0.069743,0.090788,0.101413,0.104331,0.121160,0.116362,0.129137,0.132634,0.143648,0.148852,0.144015,0.151973,0.129116,0.162260,0.165613,0.072794
0.569086,0.637295,0.836589,0.836979,0.795800,1.000000,0.518113,0.352265,0.204860,0.197593,0.140674,0.101573,0.055866,0.042467,0.074814,0.060936,0.067453,0.075990,0.077178,0.098927,0.105650,0.107291,0.124450,0.117894,0.131942,0.135335,0.146264,0.151464,0.148131,0.156318,0.132919,0.165317,0.167860,0.072622
0.383500,0.432633,0.511587,0.498995,0.459455,0.518113,1.000000,0.470700,0.213118,0.234792,0.179309,0.124090,0.076140,0.066727,0.057892,0.071106,0.077135,0.092785,0.095170,0.119350,0.127761,0.132031,0.158364,0.160502,0.188635,0.194183,0.210317,0.218406,0.215905,0.223116,0.189749,0.219614,0.219745,0.105803
0.209144,0.258657,0.280841,0.287308,0.274450,0.352265,0.470700,1.000000,0.351873,0.295940,0.203593,0.085101,0.063368,0.062420,0.104677,0.097061,0.084617,0.064944,0.068154,0.082096,0.086852,0.094162,0.107056,0.111561,0.130406,0.133785,0.149435,0.150212,0.148765,0.153035,0.132462,0.151273,0.151881,0.064275
0.110389,0.151198,0.143431,0.152561,0.149956,0.204860,0.213118,0.351873,1.000000,0.431513,0.256502,0.100650,0.074806,0.063561,0.097470,0.069403,0.078446,0.049091,0.047560,0.056267,0.064331,0.067902,0.072852,0.074541,0.085893,0.087406,0.094403,0.099766,0.098431,0.103782,0.093845,0.106867,0.110241,0.041877
0.105692,0.146689,0.139749,0.143078,0.133656,0.197593,0.234792,0.295940,0.431513,1.000000,0.314193,0.118123,0.122942,0.100501,0.147891,0.096780,0.082269,0.039314,0.038263,0.043973,0.054123,0.057348,0.056660,0.057486,0.066027,0.067679,0.072653,0.077270,0.077474,0.083095,0.074112,0.086789,0.087022,0.034340
0.083911,0.108282,0.103609,0.107017,0.101436,0.140674,0.179309,0.203593,0.256502,0.314193,1.000000,0.304188,0.249199,0.121789,0.100726,0.125895,0.124722,0.068525,0.060794,0.060893,0.077233,0.084052,0.074457,0.072789,0.079219,0.079712,0.086427,0.089339,0.085564,0.089766,0.077921,0.089977,0.093567,0.036395
0.097454,0.119234,0.087129,0.089525,0.079590,0.101573,0.124090,0.085101,0.100650,0.118123,0.304188,1.000000,0.418649,0.258588,0.093247,0.097611,0.094415,0.092349,0.070089,0.061462,0.069422,0.069344,0.071949,0.071216,0.081731,0.083472,0.091423,0.096553,0.096499,0.100728,0.086185,0.097756,0.104219,0.043855
