0.255136,0.129729,0.129116,0.101577,0.102464,0.116674,0.122362,0.132681,0.108456,0.089727,0.088578,0.090214,0.086915,0.093208,0.088331,0.088000,0.090567,0.085879,0.129473,0.130885,0.133626,0.132992,0.134396,0.153399,0.199373,0.185607,0.176494,0.167431,0.154925,0.122855,0.098651,0.065680
0.447293,0.116130,0.114893,0.193209,0.199204,0.237660,0.244442,0.254971,0.214282,0.171651,0.169708,0.167254,0.162792,0.164823,0.160811,0.160493,0.160852,0.159608,0.235203,0.236011,0.240965,0.241240,0.242221,0.287094,0.298002,0.265839,0.237818,0.222113,0.207689,0.178417,0.159906,0.111735
0.472695,0.124922,0.123661,0.197731,0.203867,0.246361,0.253839,0.266628,0.223873,0.178295,0.176137,0.173540,0.168781,0.170602,0.166642,0.166254,0.166376,0.164843,0.241712,0.242683,0.247407,0.247364,0.248528,0.296308,0.314321,0.282095,0.252140,0.235959,0.221768,0.191120,0.171052,0.120107
0.529277,0.143040,0.141617,0.197942,0.204823,0.247165,0.254257,0.265565,0.221882,0.176813,0.174711,0.171660,0.167078,0.168570,0.164823,0.164398,0.164354,0.163201,0.239988,0.240791,0.245556,0.247273,0.248410,0.301896,0.338816,0.307794,0.278817,0.262031,0.248388,0.213244,0.189504,0.131706
0.493571,0.146599,0.145330,0.214091,0.220359,0.267387,0.277543,0.295362,0.250967,0.202133,0.199569,0.197763,0.192039,0.196714,0.190769,0.190382,0.191839,0.188166,0.273071,0.274652,0.280624,0.280802,0.283219,0.327969,0.378038,0.335548,0.302870,0.287327,0.263902,0.213570,0.180139,0.125490
0.527156,0.159259,0.157802,0.247191,0.253871,0.304226,0.315498,0.334433,0.284817,0.232053,0.229307,0.227232,0.220818,0.225338,0.218920,0.218621,0.219938,0.216624,0.312328,0.313905,0.320123,0.320470,0.323007,0.369287,0.421057,0.372294,0.335547,0.317510,0.289924,0.232711,0.195642,0.134734
0.536020,0.161823,0.160391,0.240290,0.246650,0.301256,0.312691,0.332996,0.289663,0.237951,0.235022,0.232555,0.226411,0.229865,0.224283,0.223903,0.224796,0.221625,0.308244,0.309939,0.315663,0.316333,0.318790,0.367307,0.429187,0.382368,0.344629,0.326403,0.300129,0.241951,0.202439,0.141376
0.481729,0.159360,0.157920,0.228504,0.232886,0.285278,0.298109,0.321090,0.286791,0.251075,0.249583,0.247940,0.242194,0.242300,0.239363,0.238686,0.238220,0.235099,0.295431,0.297151,0.299656,0.298374,0.301384,0.322873,0.345094,0.301338,0.266122,0.255220,0.242374,0.192501,0.156265,0.104413
0.423925,0.141089,0.139819,0.240089,0.244276,0.298075,0.311609,0.335295,0.295520,0.257724,0.256008,0.255229,0.249655,0.251032,0.247159,0.246476,0.246845,0.243410,0.313471,0.315718,0.318332,0.315750,0.318635,0.338689,0.353335,0.309792,0.275849,0.262593,0.243166,0.191062,0.154084,0.104353
0.516710,0.209128,0.207877,0.222552,0.226254,0.273257,0.286771,0.312977,0.258297,0.210489,0.207628,0.207674,0.200953,0.208291,0.200935,0.200494,0.203272,0.196136,0.288695,0.291679,0.297098,0.298142,0.301456,0.354419,0.455948,0.420383,0.388326,0.368471,0.347727,0.282614,0.225547,0.153831
0.455364,0.173860,0.172890,0.209087,0.213229,0.262556,0.275713,0.299562,0.254823,0.210422,0.207066,0.207334,0.201196,0.207724,0.201184,0.200604,0.202667,0.196606,0.279036,0.282728,0.290377,0.291310,0.293211,0.345276,0.450563,0.417274,0.385000,0.363302,0.336517,0.269241,0.215068,0.148938
0.565076,0.195726,0.194336,0.278511,0.285074,0.352592,0.369061,0.397019,0.348423,0.296661,0.292735,0.292792,0.285582,0.292865,0.285115,0.284512,0.286844,0.280225,0.377352,0.380665,0.388899,0.389589,0.392841,0.460687,0.573290,0.529580,0.489555,0.464969,0.429294,0.345507,0.279710,0.197183
0.569263,0.199479,0.197987,0.280502,0.287663,0.352183,0.368311,0.394810,0.345198,0.293769,0.290027,0.290351,0.282862,0.290782,0.282580,0.282053,0.284741,0.278085,0.379026,0.382003,0.390331,0.391728,0.395357,0.465614,0.584619,0.539403,0.498679,0.473558,0.436612,0.350527,0.283831,0.201680
