1.000000,0.854789,0.645776,0.599530,0.516112,0.491392,0.474888,0.465780,0.449066,0.434005,0.435493,0.432643,0.423292,0.417631,0.414836,0.421377,0.417086,0.417764,0.417486,0.418170,0.416792,0.412820,0.404611,0.395625,0.386920,0.376810,0.371961,0.373613,0.371494,0.368777,0.372089,0.374797,0.377883,0.375486,0.373820,0.377888,0.385856,0.386726,0.388671,0.391500,0.393221,0.391227,0.391431,0.392849,0.390869,0.381101,0.376088,0.373072,0.350489,0.336509,0.334905,0.318155,0.315384,0.318267,0.310296,0.302278,0.303637,0.299337,0.299826,0.272983,0.282662,0.283978,0.288317,0.289331,0.294378,0.297697,0.296957,0.295990,0.299923,0.301688,0.302539,0.306418,0.308052,0.313158,0.315250,0.314154,0.315344,0.314738,0.322158,0.334100
0.854789,1.000000,0.860317,0.837639,0.754731,0.730013,0.709543,0.691251,0.662594,0.635971,0.634285,0.628221,0.612408,0.604394,0.595065,0.599994,0.592458,0.595930,0.589053,0.588936,0.581257,0.569986,0.557368,0.544719,0.532109,0.516880,0.509625,0.509214,0.505009,0.499998,0.502757,0.504572,0.507886,0.505798,0.505121,0.506504,0.512831,0.512097,0.514947,0.514592,0.516468,0.513743,0.514168,0.516746,0.517640,0.503266,0.497024,0.491902,0.464372,0.445500,0.442505,0.418322,0.413997,0.417266,0.406165,0.396749,0.400160,0.394434,0.395587,0.357612,0.371102,0.372708,0.378746,0.379971,0.387552,0.391782,0.391076,0.390433,0.395286,0.398154,0.399303,0.405382,0.407702,0.414161,0.416248,0.417064,0.418523,0.417119,0.426978,0.442820
0.645775,0.860317,1.000000,0.985899,0.951050,0.921020,0.891505,0.856989,0.817754,0.779515,0.773440,0.764760,0.750600,0.744254,0.730393,0.724590,0.718413,0.727591,0.707826,0.689602,0.672628,0.652400,0.637277,0.620972,0.607838,0.591240,0.582655,0.577480,0.571542,0.566422,0.569551,0.572047,0.575146,0.575069,0.575420,0.573919,0.575910,0.573266,0.575411,0.571977,0.572504,0.569258,0.569959,0.572964,0.575355,0.557628,0.550694,0.544967,0.516254,0.494917,0.491233,0.463532,0.458805,0.461678,0.449908,0.440959,0.445952,0.439516,0.441329,0.397973,0.413135,0.414584,0.421230,0.422224,0.432077,0.436608,0.436184,0.435758,0.440980,0.444955,0.446622,0.454235,0.457052,0.463814,0.465868,0.469361,0.470781,0.468297,0.478564,0.495010
0.599530,0.837639,0.985899,1.000000,0.973503,0.952003,0.926249,0.895146,0.860650,0.823301,0.817291,0.808819,0.794996,0.787945,0.773154,0.767017,0.759503,0.765945,0.743430,0.722188,0.704174,0.680662,0.664994,0.648721,0.634909,0.617267,0.607968,0.601887,0.595060,0.589300,0.592491,0.593049,0.595660,0.594421,0.595045,0.591640,0.593316,0.589294,0.591489,0.586968,0.587975,0.584812,0.585704,0.588750,0.592296,0.574056,0.567348,0.561126,0.533304,0.511931,0.507852,0.479485,0.474753,0.477441,0.465365,0.456670,0.462456,0.455925,0.457629,0.413120,0.428590,0.430001,0.436814,0.437741,0.447504,0.452101,0.451707,0.451530,0.456540,0.460583,0.462161,0.469895,0.472654,0.479466,0.481502,0.485326,0.486781,0.483975,0.494043,0.509800
0.516112,0.754731,0.951050,0.973503,1.000000,0.986659,0.963008,0.932221,0.899867,0.859902,0.853073,0.845843,0.833768,0.827152,0.812254,0.802095,0.794804,0.802215,0.775171,0.744711,0.723427,0.696378,0.680705,0.664285,0.650942,0.633358,0.624288,0.616736,0.608830,0.603764,0.608029,0.607512,0.611498,0.611220,0.612753,0.607762,0.608979,0.604048,0.606126,0.600039,0.600611,0.597436,0.598584,0.601367,0.604600,0.586154,0.579276,0.573137,0.546180,0.524615,0.520504,0.491609,0.487175,0.489603,0.477565,0.469227,0.475511,0.468936,0.470578,0.425275,0.440887,0.442292,0.449147,0.450035,0.459745,0.464370,0.464048,0.464009,0.468970,0.473135,0.474933,0.482901,0.485763,0.492319,0.494304,0.498520,0.500074,0.497067,0.506633,0.521651
0.491392,0.730013,0.921019,0.952003,0.986659,1.000000,0.990423,0.968235,0.938900,0.900382,0.893942,0.887052,0.874932,0.868164,0.854176,0.845524,0.838134,0.845074,0.818334,0.784536,0.760869,0.731899,0.715904,0.699047,0.685685,0.667904,0.659882,0.652934,0.644362,0.639545,0.644716,0.643161,0.649112,0.648344,0.651346,0.643254,0.646522,0.640891,0.642681,0.635583,0.635770,0.632257,0.633499,0.635933,0.637845,0.618078,0.610502,0.604027,0.575135,0.551723,0.547547,0.516423,0.511529,0.514154,0.501146,0.492308,0.498947,0.491888,0.493435,0.445028,0.461698,0.463318,0.470760,0.471799,0.481524,0.486430,0.485976,0.486056,0.491304,0.495648,0.497587,0.505994,0.508835,0.515855,0.517821,0.521894,0.523672,0.520644,0.531028,0.547730
0.474888,0.709543,0.891505,0.926249,0.963008,0.990423,1.000000,0.986501,0.961326,0.924869,0.919077,0.912760,0.900120,0.892190,0.878918,0.871227,0.863422,0.869215,0.843013,0.805418,0.779787,0.749284,0.732684,0.715681,0.702223,0.683885,0.676621,0.669427,0.660101,0.655233,0.661136,0.658860,0.665812,0.664488,0.668391,0.658399,0.662879,0.656238,0.657907,0.649881,0.649747,0.645929,0.647194,0.649204,0.650017,0.629326,0.621495,0.614698,0.585303,0.561126,0.556838,0.525160,0.520250,0.522934,0.509566,0.500705,0.507578,0.500461,0.501791,0.452593,0.469686,0.471377,0.479005,0.480096,0.489278,0.494299,0.493785,0.493940,0.499155,0.503436,0.505405,0.513808,0.516600,0.523760,0.525771,0.529555,0.531420,0.528399,0.539008,0.556034
0.465780,0.691251,0.856989,0.895146,0.932220,0.968235,0.986501,1.000000,0.986344,0.958214,0.953692,0.947865,0.935752,0.928288,0.915347,0.908945,0.899970,0.903401,0.878897,0.837751,0.809248,0.777990,0.762171,0.745911,0.732683,0.714545,0.707213,0.698380,0.688136,0.683392,0.689515,0.686990,0.694516,0.693111,0.697483,0.685686,0.689336,0.680379,0.681296,0.671959,0.670541,0.665897,0.666679,0.667345,0.667456,0.646584,0.638335,0.631018,0.600961,0.576382,0.571953,0.539904,0.534762,0.537608,0.524114,0.515105,0.522019,0.514688,0.515618,0.465829,0.483034,0.484819,0.492459,0.493571,0.502115,0.507210,0.506492,0.506552,0.511687,0.515869,0.517780,0.525972,0.528497,0.535532,0.537681,0.540938,0.543072,0.540134,0.550657,0.568129
0.449066,0.662594,0.817754,0.860650,0.899867,0.938900,0.961326,0.986344,1.000000,0.983474,0.980565,0.976021,0.966699,0.958627,0.945557,0.937030,0.927797,0.926744,0.901985,0.853904,0.823685,0.792590,0.778503,0.764203,0.751987,0.734102,0.727663,0.717570,0.706767,0.701799,0.708055,0.703160,0.710285,0.707452,0.711999,0.697827,0.700830,0.689539,0.689487,0.678157,0.676155,0.671054,0.671489,0.671212,0.671190,0.650333,0.642409,0.634919,0.605882,0.581564,0.576962,0.545551,0.540796,0.543529,0.530353,0.521589,0.528776,0.521652,0.522231,0.473262,0.490146,0.491831,0.499351,0.500432,0.507967,0.513027,0.512245,0.512367,0.517141,0.521126,0.522851,0.530642,0.533061,0.539755,0.541920,0.544952,0.547118,0.544066,0.553968,0.570316
0.434005,0.635971,0.779515,0.823301,0.859902,0.900382,0.924869,0.958214,0.983474,1.000000,0.998143,0.994752,0.988598,0.982351,0.970426,0.959249,0.951164,0.946394,0.926345,0.875295,0.844986,0.817897,0.806932,0.794296,0.782839,0.765564,0.759196,0.747586,0.737029,0.731595,0.735291,0.730498,0.735198,0.732793,0.736395,0.722710,0.721522,0.707615,0.706222,0.692663,0.689095,0.683214,0.682560,0.680780,0.680310,0.659781,0.651943,0.644348,0.615680,0.591129,0.586549,0.555968,0.551756,0.554470,0.541872,0.533171,0.539877,0.532758,0.533142,0.485142,0.501525,0.503087,0.510292,0.511329,0.518274,0.523348,0.522470,0.522442,0.527241,0.531131,0.532670,0.540254,0.542790,0.549269,0.551748,0.554569,0.556879,0.554144,0.563332,0.578609
