0.664266,0.704502,0.734616,0.689583,0.677121,0.624294,0.591451,0.529013,0.530710,0.546481,0.546272,0.546063,0.534155,0.503567,0.494411,0.504365
0.745787,0.795666,0.828060,0.794424,0.785865,0.734313,0.696104,0.628316,0.623922,0.636175,0.632393,0.627622,0.607613,0.571442,0.558945,0.569324
0.735368,0.793748,0.844037,0.838515,0.835155,0.787539,0.749562,0.681576,0.674529,0.683206,0.678178,0.673291,0.650667,0.612051,0.597879,0.608115
0.675391,0.739090,0.820231,0.889069,0.892228,0.867551,0.835592,0.786855,0.774681,0.777289,0.766353,0.757666,0.730108,0.692907,0.675065,0.684505
0.553324,0.613603,0.697158,0.805226,0.816233,0.844705,0.833189,0.819220,0.805791,0.800497,0.779667,0.753860,0.718487,0.687010,0.670169,0.677726
0.468652,0.530414,0.616686,0.733137,0.745977,0.780463,0.776128,0.775911,0.766237,0.763223,0.744295,0.725910,0.695245,0.671312,0.657870,0.670129
0.372519,0.431485,0.507749,0.621541,0.634166,0.675178,0.678813,0.701190,0.696285,0.699920,0.684453,0.670793,0.646857,0.631438,0.621091,0.634929
0.308264,0.363221,0.430003,0.534248,0.546707,0.594745,0.605282,0.644144,0.643063,0.650549,0.634599,0.621809,0.600334,0.588700,0.579589,0.593531
0.260181,0.309633,0.368538,0.463915,0.476217,0.526096,0.537336,0.583508,0.586118,0.598849,0.586210,0.579007,0.560529,0.552656,0.545262,0.559377
0.228818,0.276454,0.331175,0.421808,0.432979,0.481178,0.494216,0.542265,0.548014,0.565470,0.556209,0.551987,0.536735,0.531651,0.525474,0.540100
0.230112,0.276268,0.329223,0.416215,0.428945,0.475965,0.488370,0.534204,0.540255,0.557594,0.548369,0.544603,0.529696,0.522966,0.516742,0.531738
0.221230,0.266754,0.317013,0.399581,0.412711,0.457836,0.469943,0.517221,0.523607,0.543660,0.535580,0.531301,0.516062,0.509435,0.503165,0.517885
0.211721,0.257914,0.306869,0.383859,0.396088,0.435372,0.446004,0.488753,0.497151,0.521897,0.517349,0.519158,0.507342,0.503262,0.498349,0.514778
0.212048,0.260192,0.310419,0.385116,0.397846,0.433897,0.443928,0.480612,0.489414,0.517188,0.515708,0.521121,0.510414,0.506965,0.501406,0.518165
0.192368,0.237684,0.286061,0.355734,0.366037,0.397716,0.405315,0.435986,0.444497,0.470458,0.470969,0.482238,0.476186,0.476005,0.472635,0.491061
0.178637,0.220848,0.268169,0.336015,0.345096,0.373849,0.379276,0.406268,0.413983,0.439589,0.441677,0.457208,0.454088,0.455882,0.454207,0.472960
0.175727,0.217863,0.265912,0.331832,0.340161,0.365052,0.369872,0.394361,0.402518,0.429512,0.433818,0.452698,0.451447,0.453865,0.452874,0.472491
0.166392,0.206786,0.252137,0.313773,0.321297,0.344662,0.349732,0.373592,0.382158,0.408593,0.413520,0.432481,0.432145,0.435795,0.435080,0.454477
0.161893,0.201700,0.246648,0.307767,0.315077,0.337576,0.342370,0.365549,0.374487,0.401536,0.407365,0.427191,0.427754,0.431614,0.431073,0.450142
0.156795,0.194690,0.238593,0.297607,0.304863,0.325503,0.329791,0.350667,0.360006,0.386191,0.392760,0.413179,0.414709,0.419041,0.418659,0.437872
0.148637,0.185152,0.228167,0.285647,0.292381,0.312598,0.316657,0.335922,0.345000,0.370804,0.377680,0.398997,0.401394,0.406542,0.406726,0.425577
0.146437,0.181254,0.222393,0.277336,0.283375,0.303538,0.307232,0.326497,0.335240,0.360356,0.366960,0.387787,0.390528,0.395758,0.396544,0.415182
0.145756,0.179477,0.219199,0.272863,0.278381,0.297928,0.300943,0.320098,0.328244,0.352598,0.359005,0.379261,0.381853,0.387091,0.388064,0.406713
0.147217,0.179977,0.218468,0.270595,0.275986,0.294457,0.296805,0.314578,0.322873,0.346730,0.353231,0.373700,0.376943,0.381350,0.382181,0.400594
0.144461,0.175968,0.212728,0.262394,0.267578,0.285512,0.287750,0.305332,0.313326,0.336345,0.342630,0.362574,0.365838,0.370000,0.370558,0.388680
0.148753,0.179690,0.216337,0.266205,0.271928,0.289868,0.291647,0.309302,0.316940,0.339670,0.345607,0.365347,0.368519,0.371880,0.372710,0.390532
0.177172,0.207224,0.243532,0.293060,0.297423,0.312677,0.311437,0.324786,0.330808,0.353072,0.358385,0.375565,0.376900,0.377017,0.375780,0.392328
0.194573,0.222213,0.256688,0.302173,0.306684,0.316851,0.313323,0.320984,0.325681,0.344495,0.347449,0.361998,0.362712,0.359172,0.357572,0.372500
