0.535119,0.452298,0.564167,0.550178,0.322144,0.383862,0.327347,0.267250,0.223422,0.156804,0.166461,0.227551,0.236938,0.294337,0.351752,0.455178,0.494124,0.493696,0.481618,0.487284,0.488082,0.484047,0.480929,0.479191,0.459913,0.436124
0.618028,0.519276,0.648272,0.653687,0.441348,0.450196,0.417677,0.358662,0.291106,0.209352,0.230889,0.281238,0.278476,0.344329,0.391381,0.482970,0.527787,0.536196,0.523326,0.522445,0.525187,0.520691,0.520954,0.518947,0.501289,0.474962
0.669498,0.564670,0.701568,0.716186,0.512717,0.495951,0.478153,0.416808,0.341201,0.242464,0.272713,0.316907,0.306066,0.375873,0.424654,0.512259,0.556676,0.566582,0.552893,0.548156,0.551727,0.546689,0.548229,0.546297,0.530334,0.501786
0.671077,0.564989,0.695653,0.734090,0.583446,0.572210,0.575583,0.493664,0.424716,0.307801,0.357994,0.396852,0.381456,0.457482,0.495734,0.565373,0.603956,0.611148,0.600067,0.586178,0.591510,0.583525,0.586702,0.586481,0.576406,0.547868
0.554626,0.470031,0.571931,0.634551,0.528382,0.545700,0.571711,0.477833,0.438258,0.368576,0.420604,0.457975,0.444855,0.523443,0.552878,0.585224,0.610819,0.612987,0.604353,0.581578,0.588285,0.575955,0.579749,0.576965,0.572189,0.544592
0.505446,0.429314,0.522750,0.581111,0.485418,0.500962,0.550079,0.447709,0.425558,0.373647,0.427543,0.466458,0.458324,0.551705,0.578709,0.607767,0.631997,0.632163,0.624969,0.598313,0.605679,0.592220,0.596406,0.592937,0.590328,0.562588
0.422032,0.373371,0.444651,0.497085,0.418215,0.430643,0.483949,0.382976,0.383645,0.367074,0.411191,0.455968,0.462560,0.563030,0.596104,0.610631,0.623283,0.618753,0.614282,0.587392,0.592548,0.579740,0.583213,0.578838,0.577380,0.549924
0.355434,0.321240,0.383307,0.432459,0.362952,0.366103,0.428590,0.335646,0.351229,0.363288,0.401085,0.441690,0.455890,0.559096,0.577948,0.576936,0.585796,0.579454,0.574339,0.546040,0.550071,0.536307,0.539174,0.534087,0.535424,0.510931
0.310359,0.282089,0.337267,0.379012,0.322677,0.323106,0.395256,0.306564,0.330701,0.351168,0.390571,0.425041,0.441823,0.552329,0.570740,0.567727,0.574121,0.571964,0.565956,0.536217,0.540253,0.525851,0.530017,0.522951,0.525665,0.501060
0.279740,0.261090,0.310654,0.348746,0.295091,0.291684,0.360575,0.276198,0.302428,0.326774,0.367380,0.401247,0.420825,0.532113,0.556639,0.557908,0.559581,0.557784,0.554883,0.527548,0.530603,0.516568,0.520285,0.513630,0.516290,0.491978
0.285209,0.265375,0.315892,0.353211,0.299920,0.283647,0.356201,0.279157,0.307338,0.323572,0.368526,0.395105,0.413088,0.519785,0.545976,0.549244,0.550470,0.551434,0.547460,0.521137,0.524027,0.510556,0.515229,0.508207,0.510698,0.483954
0.277134,0.257036,0.309969,0.347936,0.300466,0.265568,0.346708,0.278543,0.300130,0.325723,0.363078,0.388869,0.408967,0.514312,0.538063,0.535384,0.538149,0.539248,0.535391,0.509788,0.512562,0.499023,0.502812,0.495702,0.497470,0.472752
0.272413,0.251066,0.306950,0.341892,0.290965,0.252829,0.332032,0.265199,0.284234,0.308059,0.344726,0.375175,0.400032,0.505994,0.530954,0.535693,0.542410,0.544603,0.541732,0.516278,0.519637,0.506436,0.508982,0.501744,0.502580,0.478473
0.283059,0.263116,0.320400,0.356697,0.307179,0.256515,0.340979,0.272380,0.282637,0.309424,0.341409,0.367278,0.389200,0.498713,0.525623,0.537317,0.546134,0.548640,0.545685,0.518888,0.522688,0.510134,0.512264,0.505061,0.506019,0.482814
0.256044,0.238650,0.290412,0.324920,0.276714,0.237044,0.315923,0.239169,0.250273,0.278613,0.307188,0.342045,0.363328,0.472739,0.498257,0.521560,0.531174,0.532988,0.531340,0.506330,0.511971,0.499686,0.500527,0.494092,0.495253,0.474294
0.237969,0.226173,0.269594,0.299093,0.251675,0.221699,0.297883,0.220149,0.223985,0.251171,0.276875,0.319577,0.340995,0.449949,0.477569,0.507503,0.516338,0.517861,0.516988,0.495423,0.501613,0.490059,0.490799,0.485834,0.488186,0.467843
0.235619,0.222639,0.267619,0.295162,0.244898,0.219161,0.285544,0.210254,0.213929,0.243519,0.266745,0.309857,0.330166,0.442017,0.471780,0.506093,0.515297,0.515799,0.515530,0.495482,0.500779,0.489626,0.489829,0.485381,0.487369,0.467409
0.219680,0.205820,0.248812,0.273849,0.224597,0.206308,0.264932,0.195359,0.199900,0.227103,0.248176,0.295149,0.315233,0.421372,0.449668,0.484953,0.497259,0.496859,0.496116,0.477041,0.483279,0.472601,0.471743,0.467058,0.468611,0.449949
0.216195,0.204452,0.245696,0.270456,0.222236,0.204120,0.260705,0.191692,0.192956,0.220715,0.240506,0.289144,0.307962,0.414883,0.445039,0.480627,0.492467,0.491535,0.490626,0.471693,0.477711,0.467743,0.466461,0.461928,0.463569,0.446282
0.206390,0.194243,0.232935,0.257569,0.208406,0.199027,0.247662,0.180253,0.182630,0.207890,0.227497,0.279165,0.296717,0.400440,0.431101,0.468023,0.479603,0.478108,0.477394,0.459876,0.465325,0.455357,0.453789,0.449251,0.451605,0.435160
0.194900,0.184437,0.221275,0.245346,0.198469,0.191424,0.237600,0.170435,0.171882,0.198991,0.217501,0.269446,0.286085,0.387803,0.419260,0.456985,0.467234,0.465468,0.465223,0.448534,0.453859,0.444301,0.442541,0.438152,0.440611,0.425118
0.186832,0.176067,0.212200,0.235018,0.188849,0.184517,0.228429,0.164087,0.165965,0.190737,0.210321,0.261569,0.277497,0.376026,0.407754,0.444457,0.453455,0.452531,0.452172,0.436259,0.441855,0.432726,0.431427,0.427244,0.429212,0.414526
0.181394,0.170232,0.205154,0.228549,0.183612,0.180201,0.223291,0.159548,0.162616,0.186138,0.207403,0.256828,0.270855,0.366548,0.396114,0.432563,0.441173,0.440591,0.440164,0.424734,0.430236,0.421747,0.420654,0.416503,0.418559,0.404461
0.181817,0.168710,0.204122,0.226876,0.181223,0.177039,0.218427,0.157697,0.161996,0.181334,0.204715,0.252454,0.264329,0.357891,0.388941,0.426637,0.435807,0.436353,0.434521,0.419514,0.425341,0.417243,0.416052,0.411645,0.413576,0.399594
0.174419,0.160944,0.195610,0.219035,0.174704,0.171010,0.211367,0.151208,0.156079,0.175731,0.199177,0.244326,0.254704,0.344353,0.374959,0.410815,0.419964,0.420786,0.419091,0.404499,0.410552,0.402965,0.401919,0.397620,0.399361,0.386371
0.179417,0.164705,0.200572,0.223892,0.178758,0.173261,0.211054,0.154003,0.160118,0.177024,0.198731,0.244508,0.255555,0.343514,0.375811,0.409074,0.417476,0.418774,0.416608,0.402860,0.408772,0.401235,0.400849,0.396559,0.398391,0.383721
0.198910,0.179333,0.217198,0.241974,0.190868,0.189421,0.222353,0.163589,0.168103,0.175796,0.195611,0.241575,0.252348,0.340335,0.368777,0.398681,0.409203,0.411680,0.409558,0.396970,0.402567,0.394913,0.395080,0.391151,0.391325,0.376154
0.209932,0.180898,0.225710,0.249452,0.196956,0.189679,0.218603,0.166370,0.165339,0.161668,0.179553,0.222329,0.231538,0.311884,0.332727,0.361579,0.376003,0.380581,0.375658,0.364293,0.370011,0.363068,0.362941,0.359373,0.358298,0.344834
