0.511442,0.647845,0.640140,0.670743,0.675982,0.674919,0.670512,0.668173,0.653505,0.602016,0.576761,0.563354,0.545191,0.514180,0.468971,0.471525,0.459238,0.460410,0.431995,0.400190,0.384750,0.379249,0.377833,0.370091,0.374266,0.376763,0.383190,0.386056,0.383767,0.381855,0.380027,0.377665,0.383035,0.384879,0.397077,0.396973,0.404945,0.412921,0.431292,0.420783
0.526320,0.692443,0.707772,0.726400,0.751622,0.750237,0.742913,0.734744,0.716939,0.652712,0.611426,0.570124,0.554610,0.501623,0.449052,0.453626,0.441416,0.445334,0.428272,0.400231,0.387059,0.383736,0.382912,0.376982,0.386107,0.392006,0.399102,0.403532,0.402893,0.404024,0.402744,0.397055,0.401594,0.403194,0.416887,0.416949,0.425841,0.432716,0.449314,0.449290
0.451277,0.565400,0.507459,0.522205,0.524058,0.514819,0.500320,0.499023,0.479043,0.446949,0.424872,0.406123,0.394809,0.364258,0.327419,0.328945,0.315992,0.322097,0.311420,0.291200,0.285181,0.286916,0.286014,0.281429,0.290008,0.293316,0.301559,0.306113,0.306578,0.306888,0.305878,0.302265,0.306442,0.308580,0.319788,0.320480,0.328749,0.335282,0.351502,0.351259
0.443446,0.560475,0.517949,0.532627,0.535182,0.525787,0.511851,0.508728,0.490108,0.455177,0.431511,0.408473,0.398157,0.366495,0.331370,0.332251,0.320722,0.327581,0.318325,0.297582,0.291988,0.293347,0.291691,0.286597,0.295785,0.298765,0.306044,0.310294,0.310922,0.311410,0.310165,0.306049,0.309818,0.310818,0.321607,0.321931,0.329966,0.335684,0.351474,0.353602
0.430846,0.550535,0.493466,0.507637,0.518571,0.514712,0.503398,0.498074,0.481709,0.447447,0.420990,0.389081,0.378293,0.338390,0.302093,0.303937,0.292111,0.298212,0.291006,0.272636,0.267604,0.269832,0.268605,0.264678,0.273082,0.275750,0.282610,0.286598,0.286976,0.287569,0.286753,0.284097,0.287224,0.288871,0.298865,0.299530,0.307104,0.311167,0.323706,0.326364
0.398710,0.501592,0.456031,0.468351,0.479222,0.473992,0.462765,0.464045,0.446897,0.417430,0.393549,0.367784,0.358992,0.324078,0.288722,0.289620,0.278579,0.285072,0.277259,0.258380,0.253890,0.255947,0.254872,0.250886,0.259883,0.262973,0.270686,0.275140,0.275881,0.276917,0.276003,0.272438,0.276219,0.278219,0.289500,0.290459,0.297709,0.304190,0.318206,0.320672
0.276744,0.363534,0.340302,0.348292,0.359637,0.356421,0.346709,0.360037,0.345571,0.332031,0.319625,0.305534,0.299141,0.273405,0.244497,0.244862,0.235906,0.247617,0.251830,0.244531,0.241955,0.243008,0.243010,0.241643,0.254501,0.260843,0.268884,0.272690,0.273588,0.276235,0.275570,0.268635,0.272496,0.274729,0.285680,0.287672,0.293976,0.303496,0.318231,0.321083
0.175739,0.230663,0.206298,0.213235,0.225808,0.228337,0.226128,0.236953,0.231920,0.228709,0.223493,0.208046,0.205579,0.185905,0.168296,0.169571,0.165498,0.173526,0.172783,0.165791,0.163082,0.161914,0.161413,0.159610,0.167237,0.170752,0.175019,0.177608,0.179050,0.181586,0.181682,0.177792,0.179286,0.179680,0.186131,0.186700,0.190440,0.195488,0.202471,0.204717
0.105425,0.132847,0.115517,0.120918,0.138594,0.145293,0.150918,0.162896,0.162261,0.157582,0.159250,0.139291,0.137291,0.121264,0.104883,0.105784,0.103420,0.115411,0.122548,0.112390,0.107560,0.106069,0.106830,0.105054,0.108665,0.108183,0.109236,0.110585,0.109667,0.110365,0.108791,0.106832,0.108223,0.109354,0.112609,0.112894,0.113428,0.114924,0.116428,0.117391
0.087677,0.113945,0.100584,0.103734,0.118437,0.122269,0.125511,0.133761,0.132519,0.125201,0.126061,0.108149,0.108261,0.094962,0.084893,0.086489,0.085707,0.093370,0.097684,0.090648,0.086400,0.084518,0.084603,0.082827,0.085461,0.086001,0.087803,0.089005,0.089151,0.090215,0.089385,0.087910,0.088933,0.089563,0.092595,0.092619,0.093767,0.095841,0.097678,0.099784
