0.341062,0.495691,0.557263,0.555387,0.605034,0.606752,0.611411,0.596000,0.592331,0.525845,0.491614,0.435653,0.429670,0.374325,0.332319,0.338162,0.332223,0.337827,0.330373,0.306608,0.292720,0.287280,0.286150,0.280035,0.283378,0.288942,0.290988,0.291375,0.289483,0.290682,0.291475,0.287430,0.287979,0.288421,0.297894,0.299172,0.306105,0.307133,0.318955,0.320952
0.380900,0.541356,0.670407,0.680710,0.725810,0.713825,0.703600,0.683830,0.668170,0.611237,0.570052,0.509979,0.499955,0.437465,0.387583,0.390013,0.382355,0.384093,0.374206,0.348475,0.335032,0.329936,0.329663,0.323357,0.326565,0.330620,0.334485,0.336322,0.333631,0.335000,0.333925,0.332204,0.334497,0.335081,0.346533,0.348009,0.354847,0.359459,0.372260,0.371417
0.371100,0.543208,0.687114,0.689891,0.749206,0.747014,0.743161,0.724491,0.714186,0.658878,0.610364,0.535230,0.524094,0.451330,0.397331,0.401123,0.394299,0.396475,0.387843,0.360761,0.345104,0.338443,0.338153,0.331928,0.335305,0.341183,0.343630,0.345541,0.342633,0.344584,0.344241,0.341017,0.342769,0.343466,0.355276,0.357395,0.363982,0.367317,0.378669,0.379272
0.391249,0.565755,0.694095,0.697001,0.762432,0.765801,0.766859,0.749971,0.742983,0.688593,0.642279,0.566721,0.555578,0.481501,0.426576,0.431307,0.424413,0.427387,0.418687,0.389990,0.372512,0.365341,0.364756,0.357998,0.361220,0.367105,0.369277,0.370808,0.368060,0.369697,0.369460,0.366433,0.367762,0.368482,0.380149,0.382250,0.389501,0.391451,0.403044,0.404157
0.418665,0.592228,0.762740,0.766264,0.813341,0.816907,0.805259,0.784717,0.774893,0.741919,0.697737,0.646006,0.635998,0.574467,0.523810,0.527827,0.516934,0.516520,0.500010,0.473900,0.460180,0.449810,0.446874,0.441047,0.447528,0.456220,0.460074,0.463438,0.464111,0.465240,0.465788,0.460851,0.463900,0.463480,0.476118,0.476181,0.484916,0.488918,0.501957,0.501828
0.434822,0.606480,0.758011,0.762601,0.808457,0.812773,0.804470,0.786281,0.776917,0.739489,0.699704,0.652391,0.643892,0.583130,0.531863,0.536695,0.524760,0.525287,0.507862,0.481693,0.468234,0.458312,0.455041,0.449093,0.456771,0.465590,0.469447,0.472795,0.473600,0.474707,0.475484,0.470026,0.473094,0.472503,0.485057,0.485222,0.494482,0.498251,0.511854,0.512820
0.416123,0.591612,0.740250,0.741383,0.797565,0.804717,0.804658,0.790492,0.783891,0.734116,0.693685,0.635260,0.627320,0.561333,0.507926,0.513886,0.504155,0.506853,0.493086,0.464519,0.448892,0.439042,0.436213,0.429462,0.436481,0.444657,0.447585,0.450010,0.449485,0.450943,0.451472,0.446128,0.448229,0.447811,0.460158,0.460709,0.469107,0.471661,0.484116,0.484631
0.418638,0.593669,0.737443,0.744174,0.802652,0.809602,0.809940,0.798019,0.791866,0.745692,0.707768,0.650542,0.642498,0.575669,0.521590,0.527423,0.518497,0.520929,0.505923,0.475537,0.458856,0.448976,0.445823,0.438356,0.444519,0.452041,0.454993,0.457369,0.456400,0.457593,0.457646,0.452721,0.455005,0.454585,0.467077,0.467876,0.476295,0.479125,0.492121,0.492620
0.400287,0.573441,0.711684,0.716030,0.780182,0.789714,0.796020,0.786656,0.783333,0.725634,0.692467,0.632281,0.624412,0.557145,0.503534,0.510576,0.503354,0.506813,0.492043,0.461115,0.443803,0.433697,0.430665,0.422680,0.428661,0.436238,0.438785,0.440499,0.438823,0.440056,0.440098,0.435015,0.436528,0.436248,0.448502,0.449748,0.458160,0.460416,0.473002,0.473662
0.375965,0.538579,0.683893,0.686652,0.743132,0.752625,0.757131,0.751874,0.749086,0.697413,0.668580,0.615152,0.609737,0.545972,0.495063,0.501935,0.494983,0.496916,0.480293,0.449542,0.433093,0.422897,0.418715,0.410378,0.416737,0.424381,0.426929,0.428466,0.426717,0.427890,0.427565,0.421946,0.423722,0.423243,0.435063,0.435994,0.443450,0.446000,0.457758,0.457456
