0.999945,0.667247,0.616638,0.566634,0.534868,0.509112,0.476898,0.443668,0.433566,0.415762,0.400690,0.383962,0.386521,0.364847,0.365331,0.360978,0.370103,0.349818,0.351730,0.352069,0.352704,0.324882,0.336789,0.280939
0.667243,0.999919,0.902045,0.812860,0.744619,0.702835,0.651125,0.604625,0.588665,0.551441,0.540246,0.512998,0.524588,0.491809,0.499412,0.487250,0.503469,0.457942,0.463218,0.451492,0.453337,0.430543,0.447872,0.357475
0.616642,0.902045,0.999925,0.928913,0.880111,0.832608,0.775100,0.721255,0.709718,0.661965,0.648115,0.610792,0.622481,0.580410,0.586388,0.574076,0.592525,0.541165,0.539414,0.527240,0.529951,0.504702,0.521665,0.415557
0.566634,0.812860,0.928918,0.999923,0.944842,0.903861,0.838177,0.784004,0.752230,0.704624,0.682087,0.641065,0.653891,0.613348,0.619560,0.606940,0.626833,0.579673,0.577751,0.562848,0.563648,0.540229,0.558342,0.452112
0.534868,0.744619,0.880111,0.944842,0.999918,0.969489,0.922053,0.872625,0.834712,0.782733,0.754230,0.709180,0.720374,0.680699,0.683634,0.673178,0.694794,0.648459,0.643237,0.629505,0.630208,0.602488,0.619842,0.511046
0.509108,0.702835,0.832608,0.903856,0.969489,0.999912,0.961788,0.921900,0.872672,0.823568,0.783535,0.741063,0.744758,0.713012,0.705332,0.701758,0.724369,0.685259,0.668959,0.653780,0.651361,0.628630,0.640800,0.521933
0.476906,0.651130,0.775100,0.838177,0.922053,0.961788,0.999912,0.977022,0.936593,0.890554,0.852219,0.805385,0.804700,0.773018,0.761920,0.756970,0.775387,0.735580,0.710312,0.692397,0.686668,0.663075,0.675275,0.552168
0.443668,0.604625,0.721255,0.784010,0.872625,0.921900,0.977022,0.999914,0.967433,0.930956,0.890310,0.845720,0.842370,0.815262,0.797902,0.795530,0.809395,0.771028,0.735924,0.716207,0.707394,0.681487,0.692949,0.563435
0.433566,0.588660,0.709718,0.752230,0.834706,0.872672,0.936593,0.967433,0.999901,0.970195,0.947687,0.901714,0.899221,0.864294,0.843943,0.833952,0.843522,0.791249,0.751491,0.727065,0.717467,0.691121,0.702004,0.569463
0.415751,0.551441,0.661965,0.704624,0.782733,0.823568,0.890554,0.930956,0.970195,0.999864,0.978100,0.949081,0.940990,0.912939,0.880131,0.871932,0.872325,0.829256,0.782347,0.758673,0.748602,0.715990,0.725529,0.591456
