0.320563,0.403876,0.366461,0.377499,0.436404,0.450116,0.414363,0.424717,0.381872,0.370858,0.342259,0.327178,0.322248,0.338366,0.336327,0.356863,0.353586,0.356763,0.335380,0.340144,0.356157,0.348458
0.573424,0.825646,0.739960,0.735642,0.660551,0.657396,0.667270,0.690017,0.651448,0.595818,0.555482,0.552735,0.555400,0.576989,0.576765,0.590549,0.592311,0.609884,0.591716,0.596906,0.607449,0.597003
0.640950,0.775203,0.800160,0.829895,0.714845,0.718761,0.777681,0.790735,0.796407,0.713107,0.658863,0.677668,0.706818,0.713493,0.705521,0.694520,0.678091,0.692496,0.667006,0.673827,0.675626,0.652785
0.640302,0.814391,0.838419,0.862235,0.746410,0.743832,0.803652,0.814755,0.827339,0.747948,0.689088,0.708072,0.736670,0.746907,0.737309,0.721943,0.712787,0.731593,0.708223,0.709799,0.713342,0.690472
0.643252,0.794096,0.842671,0.866649,0.734809,0.734210,0.807025,0.818127,0.838934,0.768994,0.709790,0.729245,0.756105,0.766599,0.752392,0.728893,0.722087,0.739225,0.716992,0.714698,0.714435,0.690655
0.646449,0.758260,0.832368,0.855434,0.747225,0.748087,0.823355,0.826797,0.850509,0.790335,0.729822,0.747128,0.776383,0.783196,0.763388,0.732472,0.721312,0.733967,0.710131,0.706316,0.705968,0.681408
0.618004,0.721130,0.797436,0.822491,0.720134,0.721557,0.800562,0.802493,0.829058,0.780118,0.720639,0.735957,0.764023,0.768048,0.749384,0.718091,0.704861,0.714144,0.690373,0.686469,0.686590,0.662098
0.593070,0.685409,0.765760,0.792749,0.688257,0.691709,0.773658,0.777055,0.808420,0.762053,0.705449,0.719642,0.746194,0.749847,0.731895,0.699970,0.686540,0.696219,0.673364,0.669703,0.670067,0.646266
0.556643,0.648836,0.719182,0.749601,0.656897,0.662699,0.738251,0.747408,0.772136,0.735871,0.686103,0.697590,0.719826,0.724976,0.708873,0.686116,0.671617,0.679596,0.654668,0.652740,0.655193,0.631903
0.525404,0.612062,0.682804,0.716073,0.637878,0.644029,0.716827,0.725141,0.751072,0.727417,0.681815,0.691261,0.711349,0.714409,0.698858,0.677757,0.658997,0.664924,0.637873,0.637306,0.642131,0.618911
0.481371,0.562171,0.625076,0.656232,0.597675,0.605309,0.667356,0.680240,0.696942,0.684203,0.645148,0.650141,0.663894,0.670699,0.657062,0.645855,0.626787,0.630127,0.602702,0.604017,0.611266,0.589033
0.478186,0.555739,0.618896,0.651540,0.589735,0.596046,0.659836,0.673683,0.694956,0.677373,0.637299,0.645099,0.662494,0.669962,0.655121,0.643681,0.623971,0.627333,0.599260,0.601033,0.608079,0.585503
0.480806,0.552423,0.624050,0.657998,0.596013,0.603244,0.672515,0.679757,0.711684,0.686666,0.640975,0.651932,0.677942,0.684589,0.663700,0.643148,0.621934,0.626329,0.597669,0.598834,0.605483,0.581222
0.458804,0.535633,0.595237,0.629771,0.576192,0.584206,0.646782,0.659554,0.684895,0.660874,0.619442,0.628908,0.652959,0.662227,0.643251,0.628266,0.607442,0.612186,0.583871,0.586594,0.594268,0.570353
0.464989,0.551728,0.604521,0.636653,0.580272,0.589129,0.649628,0.664020,0.683604,0.658116,0.617345,0.625377,0.648036,0.660105,0.642025,0.628271,0.609048,0.613728,0.586256,0.589291,0.597384,0.573520
0.448050,0.535305,0.583093,0.610084,0.562869,0.572739,0.629100,0.641986,0.660696,0.641512,0.600915,0.606697,0.628560,0.642364,0.621851,0.606126,0.587235,0.591737,0.565719,0.568209,0.578279,0.554756
0.436077,0.519058,0.567838,0.594582,0.551932,0.562036,0.617617,0.629055,0.647570,0.630449,0.590209,0.595859,0.618489,0.631539,0.611715,0.597058,0.576863,0.580553,0.554350,0.557463,0.567557,0.543828
0.416753,0.488738,0.534186,0.557577,0.523722,0.536040,0.586377,0.598872,0.612460,0.600656,0.563518,0.567119,0.586307,0.599876,0.581997,0.571936,0.551199,0.554263,0.529799,0.534306,0.544850,0.521083
0.374075,0.439761,0.478196,0.498396,0.476833,0.490010,0.532957,0.545956,0.553753,0.549262,0.515533,0.515787,0.530502,0.544301,0.529143,0.523621,0.504394,0.505854,0.482981,0.488240,0.499008,0.476707
0.359708,0.418520,0.464807,0.482388,0.459194,0.470724,0.515161,0.524355,0.538068,0.529009,0.493782,0.496429,0.511161,0.525005,0.510001,0.500632,0.482533,0.485991,0.464481,0.468515,0.478270,0.457299
0.329327,0.381288,0.425209,0.440532,0.428506,0.440938,0.479398,0.487132,0.496610,0.490368,0.457024,0.457702,0.469403,0.482722,0.469467,0.462071,0.444590,0.447340,0.427517,0.432144,0.442315,0.422370
0.325566,0.374674,0.423112,0.439770,0.422842,0.435240,0.475846,0.482486,0.494611,0.483752,0.449920,0.452067,0.464553,0.475953,0.463297,0.454396,0.436829,0.440463,0.421286,0.426617,0.435817,0.415745
0.315404,0.361694,0.407638,0.423947,0.408333,0.421095,0.460081,0.467983,0.477667,0.469602,0.437539,0.438794,0.449927,0.461052,0.448958,0.442120,0.425303,0.428264,0.409834,0.415642,0.424907,0.405166
0.303732,0.346939,0.388587,0.404562,0.390840,0.403944,0.439714,0.449583,0.457006,0.451314,0.421517,0.422407,0.432297,0.443067,0.431785,0.427874,0.411500,0.414188,0.396453,0.402997,0.411889,0.392026
0.282625,0.323008,0.359996,0.373590,0.362472,0.375343,0.407770,0.418625,0.423317,0.420737,0.393854,0.393558,0.401001,0.411976,0.401627,0.399400,0.384683,0.386903,0.371010,0.377506,0.386255,0.367414
0.277754,0.316521,0.352974,0.364778,0.355939,0.368814,0.399979,0.410132,0.413987,0.413607,0.386974,0.385868,0.391937,0.403442,0.393286,0.391451,0.377187,0.379495,0.364040,0.370262,0.379156,0.360886
0.256393,0.292084,0.325792,0.336080,0.329756,0.341934,0.371352,0.381486,0.383961,0.384899,0.360409,0.358761,0.363304,0.374904,0.365210,0.364023,0.351422,0.353028,0.338610,0.344395,0.352894,0.335512
0.240802,0.275742,0.305355,0.313214,0.311540,0.323486,0.348786,0.359123,0.358765,0.363135,0.340920,0.337925,0.340454,0.352761,0.343442,0.343291,0.332117,0.333472,0.320404,0.325819,0.334363,0.317444
0.238230,0.274096,0.301501,0.308180,0.306364,0.317400,0.341169,0.351675,0.350739,0.356175,0.334981,0.331852,0.332603,0.345174,0.336724,0.336894,0.327221,0.329154,0.316794,0.321409,0.329497,0.313450
0.228811,0.263384,0.286967,0.293547,0.291109,0.301596,0.323946,0.335207,0.333633,0.339676,0.320480,0.317824,0.318097,0.330300,0.322521,0.323619,0.315150,0.316739,0.305349,0.309515,0.316822,0.301271
0.231146,0.262301,0.286860,0.293826,0.290372,0.300721,0.323501,0.334582,0.334815,0.339761,0.320712,0.319115,0.320700,0.332299,0.323835,0.324007,0.315290,0.316725,0.305251,0.309045,0.315783,0.300060
0.212141,0.236128,0.256214,0.261778,0.256263,0.265818,0.285952,0.297020,0.297755,0.304429,0.289072,0.289072,0.289253,0.299561,0.292753,0.293527,0.286973,0.287943,0.278523,0.280782,0.285971,0.272320
