0.319139,0.192444,0.193082,0.167838,0.166067,0.197850,0.207689,0.237939,0.248660,0.217187,0.214270,0.213103,0.208643,0.211052,0.207712,0.207186,0.207787,0.202494,0.220944,0.223820,0.227815,0.221924,0.223349,0.269499,0.409053,0.372541,0.339395,0.333727,0.307876,0.237833,0.186820,0.122319
0.432758,0.160952,0.161049,0.169882,0.170252,0.203652,0.212638,0.237212,0.242298,0.209555,0.205788,0.204104,0.200107,0.204021,0.199772,0.199655,0.201341,0.197256,0.223800,0.224990,0.228656,0.226745,0.228397,0.299074,0.493040,0.473894,0.443886,0.426204,0.394147,0.309070,0.247225,0.164392
0.442751,0.183937,0.184238,0.200606,0.199466,0.237346,0.249298,0.282830,0.275845,0.229893,0.225368,0.223330,0.217799,0.223195,0.217456,0.217267,0.219397,0.213739,0.262419,0.264906,0.268957,0.265193,0.267445,0.339006,0.548846,0.515463,0.475090,0.457338,0.418427,0.322776,0.253195,0.166044
0.468537,0.174362,0.174456,0.250391,0.249153,0.286037,0.298916,0.330186,0.312379,0.260846,0.256194,0.254483,0.247934,0.255335,0.247956,0.247725,0.250325,0.245361,0.314768,0.317047,0.321567,0.317701,0.320398,0.395105,0.584439,0.541235,0.499116,0.478908,0.435765,0.335277,0.263650,0.170172
0.430986,0.158793,0.158983,0.228830,0.227625,0.273224,0.285740,0.318049,0.321645,0.272117,0.266882,0.264577,0.259176,0.263682,0.258470,0.258204,0.259567,0.254638,0.296556,0.299036,0.303272,0.300095,0.302185,0.395146,0.598916,0.571493,0.536213,0.512576,0.463040,0.363338,0.291312,0.190992
0.430125,0.165302,0.165538,0.239506,0.237825,0.287177,0.300676,0.336358,0.343411,0.291484,0.286003,0.283627,0.277665,0.282436,0.276860,0.276531,0.277967,0.272071,0.312322,0.315241,0.319515,0.314207,0.316248,0.408888,0.596364,0.562367,0.525998,0.503013,0.456555,0.358776,0.290756,0.193923
0.420748,0.173395,0.173772,0.236413,0.234219,0.285581,0.299602,0.338059,0.345542,0.293067,0.287408,0.285292,0.279261,0.282970,0.278064,0.277509,0.278671,0.272294,0.311553,0.314797,0.319310,0.312292,0.314507,0.400657,0.587622,0.552639,0.510537,0.488951,0.442099,0.345608,0.278993,0.188337
0.437061,0.180265,0.180617,0.257006,0.254913,0.301162,0.315289,0.351768,0.349876,0.297649,0.292255,0.290668,0.284120,0.289697,0.283599,0.283092,0.284871,0.279035,0.331376,0.334625,0.339809,0.333533,0.335898,0.416406,0.607057,0.563241,0.519001,0.498136,0.452038,0.351415,0.280927,0.186282
0.425314,0.190125,0.190594,0.271038,0.267879,0.312479,0.327127,0.366429,0.353315,0.292120,0.286515,0.284261,0.276724,0.283550,0.276461,0.275850,0.278043,0.271786,0.342489,0.346524,0.351940,0.344205,0.346455,0.416211,0.587642,0.532914,0.483467,0.467078,0.424688,0.330934,0.265527,0.177239
0.442362,0.173159,0.173482,0.259103,0.256938,0.304682,0.318053,0.353238,0.350465,0.292943,0.287229,0.284408,0.277967,0.282917,0.277242,0.276616,0.277960,0.272735,0.329044,0.332767,0.338230,0.332669,0.334644,0.421502,0.617490,0.580819,0.539988,0.516919,0.467172,0.366852,0.297018,0.197757
0.434519,0.167784,0.168019,0.253054,0.251803,0.299121,0.312172,0.344890,0.347393,0.296258,0.290913,0.288607,0.282537,0.286860,0.281729,0.281139,0.282131,0.277380,0.324640,0.327837,0.333174,0.328396,0.330194,0.421360,0.618302,0.583273,0.546170,0.524561,0.479359,0.380184,0.310681,0.207468
0.413528,0.160477,0.160695,0.237361,0.236605,0.282717,0.295339,0.326572,0.332933,0.287711,0.282816,0.281076,0.275494,0.279362,0.274650,0.274084,0.274931,0.270123,0.308529,0.311372,0.316679,0.312331,0.314049,0.404548,0.597806,0.567673,0.532890,0.511247,0.466421,0.369685,0.302133,0.200924
0.413913,0.159388,0.159602,0.250288,0.249123,0.293642,0.306500,0.338336,0.339700,0.290915,0.286020,0.284294,0.278292,0.283028,0.277749,0.277239,0.278325,0.273803,0.320971,0.323672,0.328999,0.323729,0.325618,0.409656,0.590489,0.552779,0.513420,0.494305,0.451773,0.356830,0.290944,0.193277
0.412475,0.157027,0.157210,0.263478,0.262163,0.304164,0.316805,0.347546,0.341958,0.290136,0.285339,0.283564,0.277097,0.282805,0.276938,0.276410,0.277806,0.273740,0.331971,0.334531,0.339955,0.334215,0.336251,0.414481,0.579018,0.535567,0.493897,0.476158,0.435594,0.344827,0.281883,0.186905
0.406752,0.156913,0.157091,0.274964,0.273346,0.315167,0.327979,0.359520,0.349797,0.294008,0.289241,0.287301,0.280322,0.286286,0.280019,0.279509,0.281071,0.276896,0.342975,0.345755,0.350969,0.344248,0.346206,0.420284,0.567571,0.518834,0.475659,0.459261,0.420760,0.334308,0.275594,0.184865
