0.610705,0.581821,0.613439,0.590436,0.544840,0.573063,0.551123,0.586707,0.580221,0.549565,0.540702,0.515953,0.476292,0.484651,0.461625,0.455804,0.440113,0.448021,0.468431,0.409766,0.398621,0.408785,0.345070,0.307409,0.310004,0.307713,0.325476,0.312039
0.490666,0.479143,0.460733,0.438606,0.438095,0.469841,0.439525,0.463739,0.437779,0.432398,0.433789,0.416455,0.398916,0.398899,0.386528,0.379097,0.360763,0.360815,0.361237,0.334357,0.328027,0.321935,0.279658,0.263849,0.264981,0.267421,0.285229,0.269572
0.531411,0.604941,0.622123,0.629917,0.586247,0.616723,0.601915,0.638300,0.630923,0.610549,0.588539,0.561494,0.538383,0.537876,0.514397,0.514137,0.495905,0.497831,0.497271,0.444158,0.433984,0.433876,0.374277,0.335533,0.337130,0.335545,0.357315,0.342165
0.560064,0.641230,0.668957,0.677711,0.626592,0.644596,0.645183,0.676974,0.669079,0.652986,0.632542,0.599037,0.573562,0.574050,0.548579,0.542749,0.526444,0.530016,0.527122,0.466187,0.453318,0.454766,0.388846,0.348805,0.354542,0.355897,0.379866,0.373806
0.343211,0.417685,0.514842,0.545760,0.497997,0.495218,0.562142,0.587811,0.617103,0.574454,0.538302,0.487919,0.471683,0.476212,0.462891,0.456297,0.455784,0.460700,0.457052,0.391773,0.372632,0.382745,0.318261,0.267666,0.272613,0.274358,0.297858,0.307030
0.436056,0.408391,0.478899,0.464591,0.503347,0.504375,0.538343,0.529550,0.527571,0.507075,0.504865,0.469603,0.426951,0.439699,0.428856,0.408638,0.406529,0.414877,0.436912,0.366275,0.351565,0.363316,0.306926,0.283676,0.299433,0.297513,0.316386,0.315741
0.307180,0.398084,0.492425,0.487271,0.468538,0.461488,0.520197,0.527895,0.550309,0.525129,0.509817,0.460213,0.438554,0.445079,0.430580,0.409944,0.414755,0.421158,0.421474,0.374281,0.351632,0.367454,0.307857,0.257217,0.257143,0.260593,0.278682,0.288099
0.233800,0.315761,0.384378,0.408312,0.370660,0.371601,0.418415,0.445121,0.463561,0.435636,0.412767,0.375688,0.362932,0.365221,0.353402,0.346991,0.348669,0.351998,0.355178,0.301659,0.286564,0.293656,0.244876,0.206542,0.209996,0.211869,0.229601,0.232349
0.222957,0.245554,0.298823,0.313334,0.286283,0.295536,0.341713,0.362385,0.379090,0.364576,0.363392,0.333094,0.316922,0.322685,0.307455,0.297678,0.306458,0.310824,0.317430,0.266935,0.254517,0.264811,0.217923,0.183518,0.186296,0.190097,0.204065,0.213569
0.133007,0.178200,0.195185,0.207411,0.195324,0.197307,0.226260,0.237430,0.243093,0.248539,0.260457,0.249004,0.245824,0.243493,0.232677,0.223686,0.226059,0.229124,0.221083,0.191366,0.180334,0.178470,0.152066,0.132207,0.135065,0.141464,0.149034,0.156753
