0.664717,0.687683,0.635395,0.604825,0.616899,0.650287,0.598231,0.548538,0.549665,0.569394,0.551804,0.557408,0.535641,0.536087,0.522543,0.522447,0.501937,0.500072,0.479161,0.495837,0.467955,0.467628,0.436674,0.438932,0.449245,0.433425,0.420896,0.452425,0.442241,0.433675,0.444508,0.470636,0.438849,0.360945,0.349878,0.356532
0.494100,0.491814,0.445528,0.425377,0.431728,0.415333,0.389935,0.381276,0.407897,0.417982,0.410959,0.401818,0.382135,0.382166,0.372740,0.381464,0.369883,0.365647,0.352865,0.365465,0.346593,0.364206,0.363898,0.364184,0.356866,0.358444,0.348022,0.357964,0.370943,0.327279,0.335878,0.352858,0.339426,0.298808,0.290125,0.321366
0.630592,0.642309,0.612233,0.588039,0.602859,0.645683,0.614797,0.591431,0.615301,0.643741,0.637237,0.630990,0.599967,0.613653,0.610696,0.606474,0.589103,0.584841,0.561534,0.579843,0.548122,0.558281,0.539495,0.536151,0.531159,0.511366,0.492588,0.511354,0.498453,0.469048,0.484488,0.513095,0.477456,0.388071,0.384311,0.398728
0.604088,0.639469,0.633928,0.622735,0.646984,0.685076,0.664826,0.638989,0.656717,0.680376,0.674722,0.668781,0.640512,0.666924,0.664104,0.673333,0.651959,0.649561,0.621223,0.635507,0.601158,0.608465,0.592001,0.589881,0.587098,0.565010,0.544676,0.562001,0.549476,0.531055,0.545850,0.571028,0.537054,0.445831,0.434391,0.447006
0.282136,0.319992,0.348885,0.380133,0.435837,0.532631,0.537047,0.481849,0.509312,0.548768,0.562061,0.560944,0.547876,0.602606,0.646640,0.643463,0.633937,0.635202,0.615588,0.616960,0.595600,0.579111,0.545202,0.540713,0.547978,0.514755,0.501551,0.517127,0.493810,0.505883,0.513782,0.532230,0.506659,0.415455,0.412611,0.411250
0.366710,0.405499,0.387192,0.480037,0.503371,0.508112,0.485301,0.424972,0.396768,0.405407,0.399275,0.402492,0.386718,0.408409,0.406445,0.425008,0.402027,0.402714,0.399681,0.409235,0.403697,0.370971,0.326480,0.328011,0.346598,0.349335,0.367675,0.386693,0.375966,0.411376,0.405567,0.417509,0.395187,0.342690,0.306606,0.331061
0.269607,0.289259,0.303680,0.352820,0.402187,0.476929,0.477973,0.418905,0.431679,0.467054,0.471606,0.480807,0.472177,0.527753,0.568538,0.575867,0.572152,0.570747,0.582511,0.567806,0.566569,0.536104,0.487949,0.487835,0.511190,0.486482,0.484868,0.501323,0.469270,0.502765,0.496184,0.497257,0.480809,0.409434,0.397128,0.389397
0.210968,0.230813,0.241706,0.287122,0.338557,0.412253,0.412688,0.368164,0.386861,0.421836,0.434718,0.436717,0.427392,0.477882,0.522737,0.540621,0.538223,0.534388,0.533381,0.526787,0.516644,0.496705,0.452958,0.453006,0.466836,0.436333,0.429595,0.445047,0.420955,0.438901,0.437934,0.446174,0.426404,0.354228,0.354840,0.343369
0.202790,0.216670,0.219451,0.250583,0.290249,0.341673,0.336966,0.302679,0.305659,0.330765,0.343011,0.356098,0.349673,0.393173,0.434124,0.468390,0.472036,0.468373,0.466293,0.458884,0.457020,0.439654,0.401384,0.405126,0.425066,0.398664,0.397328,0.408188,0.385255,0.402127,0.396311,0.395239,0.364793,0.309800,0.302801,0.288771
0.119636,0.133915,0.149100,0.160485,0.183155,0.197176,0.203483,0.191848,0.197288,0.207028,0.219232,0.226227,0.216083,0.261016,0.289699,0.333376,0.346090,0.345617,0.358340,0.338367,0.341161,0.337884,0.322787,0.323787,0.327098,0.313422,0.303176,0.295024,0.282274,0.280567,0.276795,0.269357,0.255952,0.229758,0.224143,0.221258
0.138243,0.152731,0.163508,0.189093,0.224162,0.259509,0.263722,0.239048,0.244653,0.262382,0.275255,0.282372,0.277110,0.336368,0.385166,0.431961,0.448150,0.447805,0.459020,0.439194,0.446192,0.429781,0.395204,0.396479,0.411059,0.392981,0.380682,0.381091,0.360394,0.367465,0.363750,0.352964,0.337872,0.300568,0.300330,0.285653
0.184052,0.191959,0.198005,0.236586,0.262747,0.274774,0.279084,0.271667,0.280432,0.291546,0.298156,0.307200,0.293356,0.324145,0.349730,0.396585,0.405804,0.407252,0.426761,0.419192,0.428564,0.420457,0.389011,0.386429,0.388242,0.378949,0.374548,0.369056,0.350689,0.344382,0.343540,0.339841,0.321654,0.290438,0.281276,0.279283
0.180295,0.187766,0.191808,0.214453,0.227328,0.219999,0.222622,0.229454,0.240285,0.241551,0.243370,0.254664,0.243928,0.254098,0.256735,0.292365,0.304576,0.309973,0.327466,0.327392,0.334120,0.339165,0.328933,0.327218,0.318018,0.313597,0.308280,0.297311,0.286158,0.268006,0.267862,0.264337,0.249708,0.238551,0.214645,0.230809
0.256163,0.264053,0.279708,0.309177,0.316516,0.297707,0.312236,0.333748,0.346848,0.340972,0.338807,0.341642,0.329817,0.327255,0.324186,0.363442,0.379722,0.387029,0.408899,0.411131,0.410545,0.436347,0.441251,0.433725,0.413633,0.412001,0.391232,0.376924,0.357485,0.323986,0.329867,0.332703,0.310911,0.290174,0.263738,0.283202
0.317981,0.315964,0.321275,0.328818,0.337930,0.315056,0.318402,0.348155,0.376973,0.375472,0.370191,0.395422,0.388563,0.378890,0.361340,0.388868,0.405304,0.410204,0.430916,0.437707,0.432427,0.469258,0.485273,0.480345,0.446786,0.447237,0.424478,0.394214,0.376684,0.322525,0.332870,0.336956,0.314642,0.295093,0.265702,0.302646
0.441893,0.412502,0.408863,0.402295,0.411288,0.381376,0.377529,0.429101,0.473720,0.472196,0.461157,0.493026,0.486146,0.461770,0.436233,0.442035,0.446481,0.450338,0.462436,0.474444,0.458050,0.507812,0.539175,0.532572,0.495432,0.491291,0.453696,0.423667,0.404967,0.339441,0.357049,0.362922,0.340962,0.316884,0.306135,0.331576
