0.216833,0.251751,0.257614,0.249289,0.255800,0.246999,0.237535,0.224301,0.228897,0.232631,0.233973,0.231523,0.237416,0.226263,0.225481,0.230902,0.239512,0.223430,0.212321,0.214809,0.210590,0.195563,0.195865,0.169735
0.351525,0.409732,0.438483,0.426681,0.438287,0.423131,0.405863,0.383246,0.392930,0.393542,0.394987,0.386529,0.394843,0.371585,0.370931,0.373785,0.389361,0.359535,0.346939,0.347248,0.343632,0.319987,0.323128,0.275354
0.386145,0.475168,0.540523,0.505680,0.514284,0.501605,0.481206,0.450473,0.470749,0.466728,0.467006,0.456019,0.460654,0.432234,0.421441,0.421041,0.437171,0.398354,0.387235,0.385111,0.382489,0.359190,0.363364,0.288316
0.406810,0.487369,0.537193,0.509371,0.520022,0.507474,0.486170,0.455545,0.470692,0.468080,0.467112,0.457812,0.462679,0.434848,0.426831,0.425445,0.443504,0.403758,0.394767,0.389976,0.389452,0.364551,0.370850,0.297200
0.431002,0.549115,0.617569,0.593051,0.610068,0.590987,0.570674,0.539104,0.557168,0.550509,0.551503,0.538103,0.548598,0.513513,0.511713,0.503217,0.523122,0.475161,0.466543,0.456508,0.456957,0.429295,0.438395,0.351768
0.426692,0.557802,0.631234,0.611360,0.630553,0.609788,0.591501,0.560604,0.579368,0.571259,0.573764,0.559303,0.572451,0.535487,0.536137,0.524645,0.544993,0.493021,0.484272,0.472892,0.472966,0.443851,0.453811,0.362747
0.418614,0.576401,0.657986,0.643029,0.664654,0.638579,0.622663,0.593485,0.615098,0.601628,0.606496,0.588315,0.607275,0.566640,0.573845,0.557423,0.579040,0.522089,0.512949,0.497756,0.497960,0.467563,0.478531,0.381369
0.411659,0.566681,0.642904,0.633742,0.655483,0.631690,0.619744,0.592582,0.615300,0.608150,0.614593,0.599640,0.618222,0.579076,0.585172,0.567836,0.588110,0.532505,0.521977,0.505846,0.507230,0.478072,0.488707,0.391594
0.404573,0.570879,0.649903,0.643452,0.666696,0.641038,0.631604,0.605429,0.628799,0.619220,0.626429,0.609849,0.632069,0.592435,0.602579,0.581725,0.601919,0.543158,0.533317,0.515736,0.517091,0.488093,0.499806,0.398095
0.379802,0.511435,0.560349,0.556031,0.578994,0.558454,0.549969,0.526277,0.541405,0.547560,0.552418,0.549333,0.567376,0.540905,0.546882,0.530994,0.546552,0.495675,0.491930,0.477143,0.481292,0.450727,0.463529,0.369383
0.343797,0.471619,0.514989,0.511946,0.536197,0.519950,0.517787,0.497153,0.512751,0.518520,0.526341,0.524801,0.542225,0.518402,0.525415,0.510323,0.524086,0.474201,0.469923,0.453023,0.457292,0.429925,0.443765,0.351756
0.307263,0.407652,0.434056,0.430881,0.453294,0.446257,0.447649,0.433111,0.441230,0.452862,0.456561,0.463645,0.480662,0.469009,0.477467,0.465044,0.477062,0.429905,0.422992,0.407306,0.414124,0.385986,0.401943,0.309233
0.296914,0.393994,0.423003,0.418561,0.440959,0.433855,0.436981,0.423507,0.431627,0.444010,0.448146,0.456246,0.473212,0.463890,0.472021,0.460289,0.470867,0.424904,0.417377,0.402586,0.409345,0.380931,0.397005,0.305294
0.250106,0.330673,0.348749,0.345946,0.365320,0.365256,0.366807,0.355502,0.359673,0.372397,0.374065,0.382080,0.396064,0.391021,0.397761,0.389180,0.399541,0.360810,0.353078,0.338864,0.345288,0.321727,0.335323,0.253369
0.212194,0.283884,0.298534,0.294986,0.312123,0.314170,0.314804,0.305309,0.307875,0.319501,0.320552,0.327789,0.339560,0.336622,0.342031,0.336136,0.345491,0.311619,0.304416,0.292301,0.297470,0.277148,0.289064,0.217449
0.214913,0.293150,0.310813,0.306962,0.324313,0.325138,0.326282,0.316685,0.320193,0.330865,0.332524,0.338634,0.352014,0.348400,0.354990,0.348715,0.358377,0.323013,0.315258,0.302881,0.307375,0.286622,0.298281,0.225003
0.209351,0.290495,0.308486,0.305872,0.323397,0.324329,0.326153,0.316997,0.320326,0.330502,0.332927,0.338623,0.351940,0.348745,0.355493,0.349715,0.359015,0.323278,0.314557,0.301633,0.305580,0.285487,0.296804,0.223489
0.210936,0.293733,0.310630,0.309612,0.327108,0.326813,0.328673,0.319532,0.323251,0.336499,0.340393,0.348248,0.362099,0.360071,0.366788,0.362614,0.371409,0.334975,0.324524,0.310931,0.314680,0.294038,0.304478,0.232265
0.215901,0.299541,0.317205,0.317454,0.335122,0.331308,0.334255,0.325966,0.329934,0.347549,0.352308,0.364597,0.379719,0.379975,0.387835,0.383732,0.391686,0.354175,0.342775,0.328629,0.333179,0.309224,0.319954,0.248367
0.194065,0.268466,0.285948,0.284153,0.300181,0.297119,0.298807,0.291425,0.294839,0.312900,0.317491,0.330392,0.343534,0.344599,0.349918,0.348212,0.355117,0.320945,0.310303,0.298889,0.301991,0.279655,0.288415,0.225172
0.184153,0.249743,0.264097,0.261059,0.275638,0.272700,0.273899,0.267169,0.270715,0.290885,0.296547,0.311393,0.323265,0.325497,0.329406,0.329071,0.335055,0.302946,0.293131,0.282821,0.285356,0.263438,0.270794,0.213165
0.181427,0.246055,0.260963,0.257216,0.271694,0.267995,0.268890,0.262370,0.266035,0.286371,0.292485,0.308092,0.319897,0.322690,0.326305,0.326986,0.332622,0.300342,0.290423,0.280882,0.283386,0.261517,0.268857,0.212373
0.182103,0.247008,0.262202,0.259026,0.273054,0.269266,0.269904,0.263134,0.267081,0.287066,0.293113,0.308456,0.320102,0.322298,0.325978,0.326332,0.332267,0.299720,0.290212,0.280357,0.283019,0.261363,0.268687,0.212180
0.178227,0.239185,0.253653,0.250204,0.263736,0.260008,0.260256,0.253659,0.257426,0.277525,0.283477,0.299164,0.310006,0.311860,0.314797,0.315053,0.320684,0.289019,0.279953,0.271085,0.273428,0.252356,0.259163,0.205094
0.181285,0.241645,0.257071,0.252084,0.265513,0.261184,0.260188,0.253123,0.257961,0.280324,0.287647,0.305074,0.315549,0.317077,0.318539,0.319863,0.325166,0.293788,0.284887,0.276654,0.278711,0.256933,0.263279,0.209815
0.184945,0.246514,0.264520,0.257875,0.271275,0.266391,0.264823,0.257336,0.262609,0.285122,0.292787,0.310748,0.321505,0.322538,0.323857,0.325047,0.330378,0.298090,0.289444,0.281158,0.283414,0.261013,0.267848,0.213990
0.188416,0.249453,0.267057,0.260004,0.273805,0.269283,0.267114,0.259244,0.264416,0.287553,0.295258,0.313700,0.324051,0.325213,0.325918,0.328052,0.333736,0.301165,0.292364,0.284055,0.286287,0.263714,0.270521,0.216354
0.191415,0.251095,0.267952,0.260379,0.274247,0.269778,0.266679,0.258363,0.263801,0.287520,0.295358,0.314245,0.324334,0.325201,0.325426,0.327823,0.333569,0.301049,0.292553,0.284445,0.286629,0.264085,0.270804,0.216977
0.190105,0.247914,0.265366,0.256343,0.270165,0.265193,0.261549,0.253055,0.258398,0.282191,0.289839,0.309021,0.318784,0.319320,0.319081,0.321900,0.327445,0.295133,0.287045,0.279755,0.281704,0.258846,0.265602,0.214104
