0.567783,0.479548,0.483548,0.448669,0.432953,0.414764,0.411643,0.398576,0.370768,0.374824,0.364135,0.349286,0.349205,0.351990,0.366100,0.343676,0.352445,0.347099,0.333335,0.359798,0.354265,0.315111,0.298112,0.300599,0.298319,0.302184,0.298775,0.283788
0.820120,0.772213,0.782121,0.773735,0.750188,0.726413,0.728776,0.691042,0.655355,0.648797,0.638137,0.624648,0.615842,0.615618,0.620238,0.594151,0.603332,0.592939,0.574205,0.591792,0.576470,0.528396,0.485522,0.477745,0.467722,0.465655,0.455259,0.435490
0.783852,0.793989,0.810340,0.815686,0.820814,0.819862,0.845177,0.825781,0.816711,0.807954,0.817740,0.820355,0.813017,0.806965,0.803262,0.793254,0.798034,0.787471,0.772098,0.760708,0.732402,0.666252,0.603051,0.575782,0.555548,0.545233,0.525603,0.489420
0.797757,0.794852,0.822011,0.842215,0.846467,0.841548,0.868705,0.849191,0.836442,0.828488,0.837293,0.838663,0.832718,0.825383,0.815292,0.805431,0.803791,0.791253,0.779911,0.771424,0.746094,0.678775,0.616399,0.592137,0.573123,0.562252,0.540883,0.506725
0.751570,0.761056,0.789247,0.817660,0.831717,0.828831,0.869330,0.851456,0.838190,0.834856,0.847219,0.850321,0.847769,0.844653,0.832264,0.825906,0.817681,0.804183,0.792298,0.783543,0.762563,0.700102,0.638483,0.614154,0.595972,0.584294,0.559376,0.528190
0.721510,0.737809,0.766743,0.803718,0.823367,0.824126,0.868256,0.859446,0.850243,0.847935,0.857779,0.863738,0.865050,0.862231,0.847962,0.843571,0.832849,0.815416,0.804511,0.796919,0.774701,0.707369,0.647951,0.620470,0.602013,0.589344,0.562890,0.530066
0.684952,0.701358,0.730493,0.766255,0.788902,0.792008,0.836204,0.836412,0.828299,0.830726,0.843429,0.849345,0.850869,0.853154,0.840580,0.836809,0.827474,0.810321,0.800048,0.791871,0.769054,0.698234,0.640080,0.615794,0.597976,0.586020,0.561172,0.529741
0.652136,0.664712,0.694106,0.730761,0.756012,0.760674,0.806030,0.809480,0.803705,0.810256,0.824724,0.833018,0.834329,0.842782,0.830772,0.828746,0.821624,0.804405,0.795428,0.787345,0.763115,0.689932,0.632787,0.609526,0.592017,0.580254,0.554962,0.524056
0.622325,0.639160,0.667140,0.696886,0.723252,0.730776,0.774481,0.785739,0.779961,0.790264,0.804295,0.808492,0.807350,0.825789,0.822990,0.815286,0.816676,0.800493,0.791743,0.790324,0.762772,0.681883,0.626006,0.605291,0.587555,0.576195,0.554016,0.521848
0.590053,0.606054,0.635578,0.664751,0.692614,0.703094,0.742587,0.764569,0.763452,0.776297,0.791625,0.794498,0.794353,0.815771,0.815339,0.807766,0.811184,0.797806,0.791019,0.789748,0.762959,0.680508,0.627035,0.606715,0.588760,0.577388,0.555297,0.523130
0.550076,0.566346,0.592268,0.616303,0.644575,0.655930,0.692945,0.720582,0.717884,0.735342,0.748178,0.745249,0.745899,0.774583,0.783138,0.769994,0.779702,0.767200,0.760460,0.765744,0.737623,0.656526,0.607871,0.591278,0.574926,0.565354,0.546646,0.515787
0.543103,0.564555,0.590599,0.614440,0.644465,0.656170,0.694419,0.722539,0.722256,0.739411,0.755046,0.752166,0.752857,0.780712,0.787592,0.777677,0.784689,0.773891,0.768605,0.770753,0.744583,0.665255,0.615960,0.598661,0.581382,0.571155,0.551780,0.520498
0.538602,0.560574,0.587027,0.616331,0.649322,0.659761,0.700046,0.729295,0.731667,0.746801,0.764391,0.766813,0.771080,0.798180,0.798491,0.798741,0.798616,0.787937,0.787628,0.785025,0.761470,0.682289,0.632847,0.612675,0.595055,0.584480,0.563228,0.531390
0.527702,0.553888,0.578474,0.603803,0.634669,0.644208,0.684797,0.715202,0.717323,0.735931,0.750427,0.749319,0.750990,0.782294,0.788298,0.783455,0.787994,0.778191,0.778720,0.783968,0.759396,0.676895,0.628991,0.607691,0.589583,0.579606,0.560591,0.529229
0.537716,0.567172,0.589948,0.612260,0.641499,0.648405,0.690519,0.718018,0.717602,0.737011,0.749585,0.747087,0.748712,0.779343,0.786727,0.781167,0.785521,0.776071,0.775671,0.782806,0.757547,0.675422,0.627297,0.606813,0.588587,0.578916,0.560847,0.530048
0.522623,0.547495,0.570497,0.593453,0.620656,0.625787,0.666494,0.696791,0.695649,0.715649,0.726804,0.723147,0.727260,0.758031,0.765518,0.759498,0.759383,0.750077,0.751817,0.761214,0.741513,0.663158,0.620475,0.601178,0.584900,0.575176,0.555803,0.528564
0.510407,0.533312,0.556457,0.578737,0.604735,0.611004,0.648972,0.681464,0.681962,0.700593,0.713596,0.709017,0.714374,0.745372,0.754816,0.747922,0.749377,0.741164,0.743001,0.751570,0.733283,0.657860,0.617023,0.598945,0.583678,0.574084,0.555038,0.529081
0.480934,0.506051,0.527049,0.547286,0.571067,0.578147,0.613939,0.646386,0.647064,0.665830,0.677979,0.671066,0.677630,0.709522,0.723213,0.715189,0.718750,0.711074,0.711853,0.720620,0.702220,0.631677,0.593331,0.577591,0.562658,0.553426,0.535716,0.512201
0.435259,0.456040,0.475064,0.492666,0.514287,0.521050,0.552898,0.587333,0.586506,0.605399,0.617083,0.607755,0.614749,0.647469,0.665022,0.656761,0.662004,0.655178,0.656931,0.666473,0.650659,0.589369,0.557121,0.546342,0.533303,0.525606,0.509884,0.490249
0.412978,0.428564,0.447962,0.468286,0.489106,0.495339,0.527377,0.559462,0.560414,0.578330,0.591025,0.584783,0.593711,0.621912,0.634899,0.630740,0.631241,0.624924,0.629622,0.634819,0.624457,0.572778,0.544365,0.533429,0.521605,0.514339,0.497193,0.479935
0.377596,0.388893,0.406586,0.427043,0.446406,0.452177,0.480849,0.511852,0.511720,0.528108,0.539881,0.533850,0.543760,0.570585,0.584696,0.580895,0.582457,0.576686,0.581377,0.587623,0.578459,0.533111,0.508133,0.499374,0.489463,0.483832,0.468321,0.452473
0.368912,0.379441,0.397557,0.419855,0.439090,0.445023,0.473016,0.502793,0.505141,0.519181,0.532261,0.528298,0.537667,0.562334,0.574460,0.572567,0.574074,0.568653,0.573043,0.576523,0.566949,0.524490,0.498267,0.488396,0.478290,0.472699,0.456939,0.440543
0.355859,0.366843,0.384457,0.404673,0.422610,0.428847,0.455332,0.484937,0.487362,0.501308,0.513509,0.508195,0.517485,0.542755,0.555995,0.553291,0.556025,0.550655,0.554065,0.558540,0.548335,0.506822,0.481095,0.472602,0.463049,0.457797,0.443044,0.427669
0.342631,0.352983,0.370375,0.389085,0.405718,0.411935,0.436275,0.465105,0.467302,0.481172,0.492348,0.485484,0.493872,0.520318,0.535710,0.531336,0.536035,0.531176,0.533876,0.539629,0.529089,0.488904,0.463845,0.456882,0.447525,0.442789,0.428946,0.414732
0.317681,0.327098,0.343211,0.359979,0.374806,0.380428,0.402815,0.429905,0.430777,0.444269,0.454160,0.446548,0.454631,0.481152,0.497023,0.492028,0.496970,0.492492,0.494901,0.501585,0.491742,0.456226,0.433809,0.428865,0.420767,0.417022,0.404551,0.392701
0.311134,0.318582,0.334620,0.351221,0.365068,0.371049,0.392375,0.419309,0.419369,0.432640,0.442412,0.434264,0.443231,0.470035,0.485940,0.480532,0.485055,0.480650,0.482932,0.490522,0.482000,0.448633,0.427801,0.424442,0.417197,0.413692,0.401068,0.390281
0.286223,0.292886,0.307544,0.322887,0.335685,0.340737,0.360655,0.387138,0.386371,0.399082,0.408547,0.400426,0.409289,0.434802,0.450205,0.445820,0.449956,0.445920,0.448308,0.456056,0.448633,0.420789,0.401963,0.400365,0.394330,0.391687,0.380190,0.371950
0.269540,0.275244,0.288655,0.302519,0.313726,0.318094,0.336695,0.361873,0.359330,0.371838,0.379555,0.370779,0.379933,0.404987,0.420234,0.415324,0.419172,0.414961,0.417206,0.426559,0.420232,0.395958,0.379982,0.379992,0.375133,0.373326,0.362679,0.356245
0.267932,0.270579,0.284178,0.297448,0.307329,0.310752,0.327792,0.350886,0.347363,0.359689,0.367020,0.358548,0.367539,0.391659,0.406629,0.401362,0.405474,0.401291,0.403388,0.413728,0.408135,0.385973,0.371071,0.372427,0.368468,0.367192,0.356617,0.351138
0.256361,0.260523,0.273352,0.284991,0.294355,0.297298,0.313196,0.335135,0.331022,0.343175,0.349738,0.341033,0.349166,0.372879,0.387662,0.382251,0.387026,0.382980,0.384932,0.395576,0.390261,0.369849,0.355718,0.357732,0.354093,0.353233,0.343348,0.338662
0.257095,0.262817,0.275333,0.287864,0.298060,0.301047,0.317259,0.339286,0.335521,0.347386,0.353689,0.345565,0.352963,0.375993,0.390065,0.384919,0.389561,0.385186,0.387505,0.397922,0.393238,0.373052,0.359372,0.360454,0.356614,0.355492,0.345229,0.340144
0.230961,0.236607,0.248012,0.258947,0.268422,0.271056,0.284901,0.302894,0.299127,0.310472,0.315696,0.307529,0.313305,0.335180,0.348056,0.342367,0.347964,0.343799,0.345967,0.356657,0.352322,0.334424,0.322510,0.324007,0.320924,0.320075,0.310607,0.306308
