0.190339,0.275045,0.310202,0.380107,0.259741,0.294642,0.324565,0.360351,0.117605,0.113432,0.107484,0.088629,0.109880,0.110637,0.065839,0.047685,0.057872,0.019391,0.015595,0.016203,0.014189,0.019575,0.022788,0.038808,0.037620,0.031820,0.034130,0.040739,0.055943,0.065063,0.051557,0.050954,0.050752,0.049157,0.056284,0.059909,0.059735,0.064621,0.065359,0.057694,0.055226,0.062054,0.057130,0.049612,0.053093,0.057430,0.058431,0.037371
0.300187,0.435499,0.514868,0.598283,0.466330,0.524403,0.573328,0.628163,0.231535,0.224305,0.200418,0.172010,0.214667,0.200698,0.123684,0.092312,0.111191,0.037021,0.034409,0.031734,0.031633,0.034824,0.037749,0.044372,0.043968,0.045091,0.048845,0.058285,0.077886,0.089746,0.069941,0.068287,0.070359,0.067679,0.075623,0.080008,0.079373,0.085175,0.087347,0.076583,0.074971,0.086490,0.083334,0.071635,0.082708,0.106080,0.101670,0.058218
0.325665,0.471127,0.660615,0.727098,0.584745,0.681585,0.754770,0.782386,0.345468,0.326203,0.260792,0.217890,0.257790,0.234335,0.152923,0.121785,0.141349,0.049904,0.053628,0.044043,0.050544,0.048716,0.050161,0.037849,0.044847,0.052942,0.054187,0.065281,0.084519,0.096222,0.072222,0.071606,0.073299,0.070790,0.078783,0.083354,0.082254,0.087495,0.090563,0.077863,0.077808,0.091250,0.090871,0.082596,0.101299,0.134211,0.131623,0.068533
0.324639,0.466978,0.651648,0.723370,0.614882,0.705009,0.770124,0.809097,0.379860,0.373935,0.276807,0.229552,0.282213,0.251279,0.162155,0.129641,0.153610,0.053859,0.055721,0.043946,0.051446,0.048699,0.049437,0.038327,0.045473,0.055061,0.056619,0.067015,0.087576,0.099175,0.074807,0.074098,0.075844,0.072218,0.081129,0.085248,0.083873,0.089156,0.091857,0.077890,0.078105,0.091277,0.090552,0.081877,0.099882,0.132816,0.130903,0.070348
0.310151,0.423285,0.605685,0.678177,0.608024,0.698121,0.761672,0.803658,0.414479,0.414159,0.300463,0.247351,0.302899,0.267914,0.173277,0.140258,0.164525,0.053666,0.057777,0.045775,0.054105,0.053424,0.053054,0.037008,0.046485,0.056823,0.056397,0.066138,0.086149,0.097773,0.072222,0.071792,0.074037,0.071031,0.080095,0.083954,0.082033,0.086506,0.088843,0.074570,0.075530,0.088714,0.089008,0.080671,0.099988,0.129963,0.131758,0.069263
0.309822,0.411140,0.579321,0.652361,0.616126,0.699218,0.763312,0.818918,0.420702,0.420832,0.336151,0.284978,0.334806,0.308759,0.204403,0.166322,0.182843,0.055800,0.062581,0.053833,0.060068,0.062283,0.063973,0.039812,0.053172,0.065558,0.062369,0.071234,0.092845,0.105233,0.076803,0.075571,0.078062,0.074422,0.084635,0.088566,0.086193,0.090826,0.092890,0.076757,0.078355,0.092511,0.092653,0.083696,0.104898,0.136401,0.144968,0.072186
0.319591,0.399084,0.565543,0.616879,0.640563,0.710222,0.767560,0.826647,0.421496,0.423171,0.350104,0.304543,0.362653,0.338126,0.230309,0.185454,0.193872,0.056333,0.063301,0.056460,0.061297,0.064984,0.067130,0.039244,0.054386,0.066980,0.063568,0.072651,0.095540,0.108536,0.079134,0.077609,0.080131,0.076348,0.088240,0.092263,0.088835,0.093211,0.094998,0.077283,0.079110,0.093540,0.093984,0.084791,0.107293,0.139331,0.153244,0.072117
0.359024,0.384954,0.546493,0.574095,0.639943,0.686651,0.746944,0.804769,0.418981,0.426161,0.370300,0.333804,0.394369,0.372978,0.266918,0.216178,0.220885,0.060064,0.069515,0.066627,0.067807,0.071253,0.077602,0.040707,0.056604,0.070693,0.067383,0.076847,0.101687,0.116102,0.083541,0.082101,0.085153,0.082161,0.095276,0.099138,0.094581,0.098481,0.100805,0.082244,0.084276,0.099642,0.100623,0.092403,0.116573,0.152373,0.172400,0.075390
0.365223,0.344116,0.505739,0.520578,0.634698,0.657288,0.711852,0.771978,0.412320,0.438805,0.370125,0.339350,0.422178,0.393899,0.285365,0.231740,0.239818,0.060352,0.069797,0.071189,0.068860,0.072266,0.082059,0.041703,0.057562,0.071151,0.068602,0.078472,0.103997,0.118162,0.084380,0.083555,0.086478,0.084096,0.099179,0.103150,0.098251,0.101813,0.103970,0.084733,0.086875,0.102080,0.102268,0.095180,0.116729,0.148270,0.171091,0.075434
0.364024,0.339808,0.491645,0.496306,0.637100,0.655367,0.701914,0.755341,0.423455,0.465682,0.382618,0.349179,0.433612,0.400891,0.299726,0.246193,0.257197,0.072304,0.081726,0.086043,0.082760,0.081111,0.092906,0.046518,0.060954,0.074781,0.075025,0.087221,0.111458,0.126402,0.090478,0.090054,0.092722,0.092534,0.106910,0.111041,0.106205,0.109546,0.113644,0.095512,0.098186,0.115456,0.115218,0.111721,0.133656,0.164535,0.183445,0.080246
