0.226131,0.227011,0.244381,0.223053,0.204303,0.209830,0.206122,0.225053,0.234734,0.226010,0.221928,0.219765,0.212946,0.206861,0.202130,0.214786,0.221196,0.221426,0.221461,0.223064,0.229849,0.225768,0.211681,0.204926,0.200507,0.197852,0.200449,0.194620,0.192334,0.192535,0.190780,0.188886,0.187825,0.180002,0.179519,0.175282,0.169855,0.169677,0.173705,0.157401
0.207895,0.298987,0.275598,0.290514,0.284929,0.291144,0.270372,0.274593,0.263329,0.291135,0.291996,0.280741,0.282514,0.285546,0.281537,0.282365,0.268669,0.266026,0.255721,0.265502,0.273079,0.274613,0.258479,0.262890,0.255485,0.259558,0.260764,0.256279,0.257373,0.259689,0.262934,0.261109,0.264198,0.260632,0.256678,0.252402,0.250314,0.250988,0.255183,0.236878
0.247272,0.342840,0.313456,0.324012,0.320809,0.328521,0.305062,0.306837,0.293928,0.318330,0.320521,0.309054,0.311832,0.315108,0.310555,0.310417,0.296506,0.293427,0.282723,0.293936,0.302026,0.303200,0.285725,0.290106,0.281310,0.284980,0.285462,0.280022,0.280993,0.283540,0.287181,0.285667,0.288862,0.285131,0.281717,0.278617,0.276558,0.277934,0.282865,0.261767
0.273239,0.384787,0.343979,0.349377,0.338520,0.342008,0.312628,0.320927,0.304469,0.334591,0.338289,0.327767,0.324911,0.325134,0.317672,0.320577,0.306132,0.306166,0.295783,0.308070,0.317948,0.319253,0.301827,0.307841,0.305551,0.309018,0.311485,0.305918,0.306634,0.311113,0.315926,0.314890,0.319250,0.314173,0.311265,0.308396,0.305050,0.304875,0.309866,0.284729
0.515204,0.570317,0.552573,0.542415,0.494684,0.499725,0.487445,0.509571,0.507091,0.491267,0.472337,0.451622,0.452757,0.451791,0.446348,0.458284,0.454916,0.455687,0.447967,0.452246,0.454138,0.451892,0.421555,0.407476,0.388245,0.386473,0.388177,0.375289,0.374119,0.370130,0.366849,0.364371,0.366135,0.358730,0.355558,0.352106,0.344710,0.344239,0.354716,0.323967
0.563405,0.604512,0.601136,0.595227,0.539593,0.544872,0.534588,0.560156,0.556104,0.533272,0.514292,0.490094,0.493518,0.491895,0.485966,0.499241,0.494576,0.494674,0.485541,0.490621,0.491550,0.487960,0.455300,0.439987,0.418795,0.416282,0.417536,0.403068,0.400654,0.395454,0.392102,0.389215,0.390776,0.382731,0.379487,0.375409,0.366135,0.366182,0.377812,0.345453
0.599230,0.617989,0.625234,0.612477,0.561446,0.565597,0.565384,0.586462,0.578806,0.554312,0.531093,0.503917,0.508501,0.504126,0.495467,0.504888,0.501179,0.502375,0.495687,0.503253,0.502943,0.497316,0.465043,0.449411,0.429289,0.427547,0.427704,0.412977,0.410041,0.404828,0.402072,0.399590,0.402072,0.394773,0.392072,0.388272,0.378380,0.379733,0.392010,0.359144
0.570660,0.481470,0.499891,0.459993,0.413947,0.420082,0.442491,0.454967,0.429489,0.387586,0.377648,0.367060,0.373758,0.366859,0.357494,0.355837,0.352890,0.360134,0.358593,0.376164,0.375488,0.365651,0.340610,0.330829,0.323639,0.320553,0.319537,0.305519,0.297408,0.298150,0.303119,0.301688,0.304904,0.298752,0.305588,0.306867,0.294943,0.297693,0.312368,0.283543
0.558854,0.424061,0.456052,0.419114,0.378217,0.384092,0.424492,0.439374,0.421030,0.373801,0.362309,0.356912,0.364540,0.356239,0.343978,0.343826,0.343527,0.350725,0.349271,0.367209,0.363887,0.355797,0.332125,0.321451,0.313039,0.308693,0.307506,0.293859,0.283793,0.283131,0.286874,0.284721,0.284218,0.278020,0.285565,0.284879,0.275093,0.280687,0.292763,0.264951
0.502042,0.597805,0.629626,0.600063,0.532503,0.548418,0.532618,0.548493,0.556103,0.521404,0.514070,0.495013,0.487478,0.474888,0.472421,0.484910,0.490875,0.497265,0.497814,0.497555,0.503370,0.494780,0.470093,0.452945,0.432866,0.426784,0.425176,0.407394,0.403728,0.398798,0.393390,0.391887,0.391158,0.375841,0.374621,0.372229,0.360050,0.357366,0.369244,0.339553
