0.347755,0.357879,0.369970,0.352331,0.356904,0.364565,0.381171,0.395902,0.399597,0.381687,0.378454,0.371578,0.361648,0.363854,0.366777,0.359058,0.346601,0.359392,0.353172,0.350927,0.347764,0.346678,0.350272,0.344577,0.357264,0.353043,0.338119,0.324278,0.319454,0.293745,0.298917,0.299098,0.297343,0.292733,0.288456,0.288833,0.279813,0.285169,0.286296,0.284057,0.283387,0.283469,0.285178,0.284964,0.294783,0.299723,0.296300,0.287013
0.437185,0.464831,0.456666,0.429009,0.410407,0.408102,0.386078,0.394593,0.402774,0.386464,0.399424,0.382573,0.380763,0.373893,0.377935,0.380604,0.369504,0.373205,0.368524,0.356079,0.340322,0.332093,0.331941,0.318903,0.318612,0.319293,0.316557,0.308770,0.297712,0.290363,0.283509,0.271707,0.269382,0.257602,0.252478,0.267982,0.261268,0.257666,0.259472,0.259537,0.261792,0.263495,0.264253,0.264012,0.269038,0.267825,0.262015,0.243636
0.571258,0.679669,0.688608,0.653438,0.616962,0.583601,0.554272,0.515077,0.522029,0.505429,0.503304,0.486154,0.482784,0.478072,0.468688,0.476866,0.464440,0.461711,0.451898,0.437739,0.419464,0.412878,0.420150,0.409306,0.409535,0.408050,0.403034,0.398800,0.397121,0.382909,0.378120,0.372444,0.375400,0.363799,0.352826,0.368789,0.363774,0.359205,0.356931,0.357075,0.356551,0.356408,0.357364,0.354854,0.358159,0.356648,0.346034,0.316434
0.581647,0.643287,0.632306,0.606123,0.589204,0.586859,0.547530,0.513492,0.524509,0.507104,0.512539,0.489983,0.494965,0.490808,0.480678,0.493134,0.488187,0.479132,0.469168,0.450921,0.424525,0.417238,0.426832,0.417415,0.408267,0.407378,0.410116,0.410184,0.410480,0.401798,0.390213,0.380466,0.385684,0.368992,0.353775,0.376006,0.366544,0.357538,0.354455,0.352692,0.352165,0.352201,0.351172,0.346319,0.347288,0.342700,0.329084,0.288769
0.594203,0.663540,0.649704,0.632994,0.635976,0.647699,0.665459,0.603036,0.617140,0.610144,0.600525,0.576737,0.572051,0.569136,0.548312,0.552935,0.541916,0.535186,0.523353,0.513966,0.497087,0.492029,0.509404,0.501648,0.502268,0.496268,0.485248,0.487623,0.495466,0.491842,0.491904,0.491085,0.501358,0.488581,0.471001,0.479213,0.484087,0.479256,0.471579,0.470452,0.468621,0.466043,0.468299,0.460299,0.455195,0.448609,0.430984,0.382756
0.651364,0.749812,0.747412,0.733476,0.724522,0.722410,0.715636,0.652388,0.662871,0.652988,0.651141,0.623433,0.620379,0.613560,0.590991,0.601839,0.592726,0.583044,0.571920,0.556091,0.535379,0.529818,0.544093,0.532466,0.528272,0.525333,0.519735,0.521215,0.526647,0.525921,0.521880,0.517291,0.524689,0.508586,0.492663,0.507030,0.507661,0.499785,0.494300,0.494004,0.493573,0.491447,0.492208,0.486415,0.480950,0.473613,0.454549,0.402167
0.676245,0.786385,0.790530,0.780492,0.771839,0.769938,0.751325,0.690377,0.702182,0.694512,0.694628,0.668924,0.669945,0.666472,0.647453,0.661246,0.655389,0.646106,0.632405,0.615548,0.594350,0.587830,0.604130,0.593396,0.590106,0.584832,0.576870,0.576162,0.580477,0.569999,0.564263,0.558091,0.565502,0.544962,0.526160,0.541349,0.534551,0.526668,0.520665,0.518812,0.518154,0.516327,0.516073,0.510615,0.508372,0.502236,0.484654,0.430988
0.692803,0.769916,0.756150,0.751547,0.764588,0.790359,0.785206,0.742999,0.753424,0.744981,0.750926,0.724464,0.728278,0.730863,0.707835,0.720131,0.717530,0.701687,0.688628,0.671808,0.647361,0.638164,0.656566,0.648300,0.639515,0.632451,0.623219,0.624477,0.629691,0.616899,0.609514,0.604288,0.615165,0.590982,0.567413,0.582280,0.574546,0.565030,0.556089,0.552295,0.550485,0.547953,0.547015,0.539062,0.535779,0.527305,0.506163,0.445807
0.342148,0.425857,0.443842,0.432126,0.423683,0.433847,0.455551,0.432134,0.415141,0.391724,0.381783,0.362334,0.366861,0.354124,0.341541,0.355510,0.346620,0.340214,0.343375,0.323114,0.317987,0.323744,0.328255,0.323877,0.317332,0.320360,0.324646,0.319067,0.319802,0.309665,0.305540,0.304876,0.300178,0.295112,0.287648,0.288522,0.283088,0.278876,0.275931,0.271133,0.273344,0.270844,0.270554,0.267585,0.262834,0.255405,0.241171,0.207224
0.332545,0.399589,0.416136,0.402851,0.402407,0.429210,0.464343,0.423703,0.410861,0.379697,0.369438,0.350766,0.352276,0.338327,0.320703,0.332830,0.325242,0.319877,0.321492,0.302217,0.296977,0.306876,0.317823,0.320317,0.316791,0.318425,0.325655,0.321132,0.325635,0.321976,0.317036,0.319671,0.315596,0.314292,0.306068,0.307917,0.306463,0.302406,0.298666,0.294420,0.298409,0.296830,0.297734,0.293427,0.286503,0.277636,0.261664,0.220854
0.223262,0.264233,0.271710,0.277077,0.295143,0.302157,0.301686,0.301527,0.298965,0.316185,0.322015,0.313409,0.323809,0.327283,0.324321,0.342340,0.351287,0.344716,0.341490,0.330334,0.344883,0.332528,0.348696,0.347660,0.345381,0.332433,0.320130,0.318605,0.318297,0.302418,0.303524,0.294910,0.297745,0.278109,0.267360,0.267120,0.250084,0.246658,0.245993,0.239823,0.240871,0.239709,0.238155,0.237371,0.236721,0.233798,0.226824,0.210300
0.178617,0.201069,0.197567,0.210925,0.238576,0.254802,0.255881,0.250379,0.256790,0.284130,0.287962,0.284121,0.291292,0.301663,0.300163,0.315714,0.326358,0.320783,0.312280,0.309174,0.321834,0.310651,0.329425,0.329976,0.331546,0.313631,0.294768,0.291687,0.294668,0.274867,0.278274,0.270005,0.278668,0.256317,0.243319,0.241739,0.223581,0.222465,0.220496,0.215026,0.214585,0.213531,0.211911,0.210352,0.210234,0.209413,0.205071,0.193716
0.222679,0.214432,0.189720,0.200609,0.241604,0.291791,0.318796,0.297870,0.311412,0.330987,0.326375,0.319586,0.322240,0.334919,0.326731,0.334133,0.342521,0.334024,0.320831,0.322499,0.325546,0.316215,0.341867,0.351227,0.352806,0.330522,0.310878,0.311133,0.322912,0.313749,0.313072,0.308444,0.326941,0.308466,0.286909,0.285896,0.278477,0.275881,0.266786,0.261221,0.259328,0.258594,0.258866,0.251308,0.246583,0.241924,0.231593,0.201327
0.198862,0.198228,0.181146,0.199584,0.241227,0.273021,0.290486,0.272751,0.287768,0.322913,0.320056,0.320587,0.327602,0.346183,0.342040,0.351432,0.371399,0.363509,0.352474,0.357112,0.370568,0.353935,0.379217,0.389987,0.392357,0.368816,0.344354,0.346123,0.360949,0.346015,0.347001,0.342012,0.358581,0.337904,0.314289,0.309801,0.293758,0.291034,0.282206,0.274413,0.270772,0.267941,0.267318,0.260973,0.258906,0.255536,0.247172,0.221185
0.139104,0.150779,0.147968,0.160815,0.186435,0.201354,0.213242,0.201905,0.216903,0.243304,0.237976,0.238940,0.238047,0.253261,0.252664,0.257232,0.272073,0.270565,0.264466,0.273845,0.292917,0.277295,0.298570,0.310117,0.317362,0.291266,0.270874,0.269189,0.280750,0.266626,0.268264,0.263695,0.277940,0.261591,0.244785,0.238854,0.225040,0.226004,0.220709,0.215254,0.213149,0.211126,0.210558,0.206717,0.206555,0.205393,0.200480,0.182898
0.107625,0.125037,0.124127,0.132895,0.149832,0.160023,0.167031,0.162233,0.176461,0.198193,0.195012,0.193905,0.190893,0.202167,0.204954,0.208790,0.217375,0.217266,0.213276,0.216301,0.233338,0.219784,0.237264,0.244851,0.252229,0.230674,0.213949,0.210771,0.217526,0.207809,0.209675,0.202872,0.213949,0.195959,0.185893,0.181450,0.172133,0.173074,0.170457,0.166935,0.165672,0.163933,0.163850,0.161346,0.161425,0.160280,0.157180,0.144833
0.108558,0.108215,0.100772,0.112368,0.133384,0.155962,0.173342,0.156945,0.165871,0.174709,0.172142,0.172422,0.171853,0.180291,0.180583,0.187213,0.196792,0.198229,0.191881,0.194293,0.200473,0.194460,0.219736,0.235120,0.244175,0.216242,0.204574,0.201713,0.209938,0.199034,0.195847,0.191106,0.203849,0.186729,0.176658,0.174273,0.162458,0.163448,0.160298,0.156436,0.156486,0.155481,0.154483,0.151063,0.149556,0.150279,0.147010,0.133601
0.050622,0.064706,0.066355,0.063348,0.060138,0.057332,0.057108,0.053077,0.054629,0.057725,0.057704,0.055385,0.053520,0.053792,0.056704,0.060765,0.062960,0.064300,0.067955,0.067218,0.073737,0.068629,0.074919,0.081749,0.084957,0.080049,0.080720,0.081076,0.079413,0.075676,0.073653,0.069431,0.068444,0.062236,0.064139,0.063876,0.060077,0.060647,0.061244,0.061509,0.061915,0.061152,0.060450,0.060394,0.061244,0.062307,0.061611,0.057918
0.047023,0.071806,0.077230,0.075867,0.070755,0.064093,0.063094,0.058505,0.059000,0.063071,0.062468,0.059876,0.059334,0.058946,0.060726,0.066777,0.068520,0.068611,0.071995,0.069786,0.078420,0.073613,0.079366,0.083309,0.085428,0.079269,0.076673,0.077122,0.078858,0.074234,0.071731,0.067276,0.066045,0.058903,0.059426,0.060156,0.055366,0.055397,0.056267,0.056219,0.056358,0.055976,0.055741,0.056330,0.057263,0.058500,0.058546,0.056397
0.036160,0.051471,0.054494,0.056138,0.056285,0.051826,0.054553,0.052684,0.052277,0.058417,0.058783,0.056734,0.057473,0.058602,0.060679,0.066825,0.072061,0.072687,0.074045,0.072503,0.080937,0.076132,0.085850,0.092379,0.093224,0.085070,0.082357,0.083626,0.086334,0.079773,0.077951,0.073428,0.073480,0.064217,0.063484,0.062938,0.056408,0.056129,0.057389,0.056503,0.056918,0.056876,0.055687,0.056177,0.056803,0.058567,0.058516,0.056395
0.048407,0.070704,0.075276,0.075894,0.071960,0.063735,0.063521,0.058629,0.058729,0.061793,0.062645,0.059631,0.058943,0.058396,0.059898,0.065642,0.066843,0.068093,0.069669,0.067117,0.072973,0.069957,0.076121,0.079832,0.081975,0.077070,0.076611,0.078335,0.079751,0.075000,0.074494,0.070161,0.067061,0.059603,0.060867,0.060101,0.055922,0.055415,0.056791,0.056931,0.057643,0.057648,0.057257,0.057884,0.058067,0.059321,0.059052,0.056480
0.040107,0.056676,0.059331,0.062717,0.063068,0.057481,0.056089,0.054862,0.053781,0.059081,0.060159,0.058149,0.060142,0.061623,0.064061,0.069524,0.074315,0.073411,0.074529,0.072467,0.078710,0.075156,0.082088,0.086006,0.087546,0.082108,0.079521,0.079506,0.082082,0.076636,0.076296,0.072452,0.071709,0.064117,0.063113,0.062576,0.055941,0.055878,0.057447,0.055716,0.056297,0.056374,0.055728,0.056339,0.056596,0.057110,0.056528,0.055269
