0.256999,0.354356,0.432521,0.480301,0.507640,0.468052,0.444667,0.412870,0.404455,0.410924,0.419152,0.444446,0.438052,0.415392,0.404563,0.415585
0.257003,0.361737,0.449598,0.508765,0.530202,0.487468,0.469976,0.441436,0.434865,0.444171,0.455366,0.478314,0.469333,0.448017,0.432305,0.442703
0.347649,0.437150,0.545622,0.668819,0.678404,0.635527,0.599089,0.548200,0.526117,0.509654,0.506854,0.518642,0.499288,0.459947,0.443075,0.456788
0.334840,0.417185,0.523473,0.653496,0.663060,0.619726,0.581847,0.532172,0.508969,0.490032,0.486373,0.497750,0.479161,0.440404,0.424105,0.437995
0.151252,0.219470,0.292386,0.423762,0.425189,0.388522,0.371368,0.352208,0.335895,0.334668,0.344717,0.372246,0.374534,0.364163,0.351421,0.367701
0.151253,0.219471,0.292387,0.423763,0.425191,0.388524,0.371369,0.352209,0.335896,0.334669,0.344717,0.372247,0.374534,0.364164,0.351422,0.367702
0.151260,0.219477,0.292394,0.423773,0.425200,0.388533,0.371378,0.352215,0.335902,0.334673,0.344721,0.372250,0.374539,0.364167,0.351425,0.367705
0.151901,0.220386,0.293618,0.425248,0.426724,0.389853,0.372537,0.352901,0.336363,0.334753,0.344671,0.372334,0.374652,0.364108,0.351491,0.367610
0.151888,0.220374,0.293602,0.425236,0.426707,0.389841,0.372532,0.352899,0.336363,0.334760,0.344675,0.372340,0.374663,0.364125,0.351507,0.367634
0.151880,0.220370,0.293594,0.425227,0.426693,0.389830,0.372526,0.352894,0.336361,0.334763,0.344680,0.372345,0.374671,0.364134,0.351515,0.367644
0.151884,0.220374,0.293599,0.425235,0.426700,0.389838,0.372533,0.352901,0.336367,0.334769,0.344686,0.372351,0.374676,0.364139,0.351520,0.367649
0.151885,0.220377,0.293602,0.425238,0.426704,0.389842,0.372537,0.352905,0.336371,0.334773,0.344689,0.372355,0.374679,0.364142,0.351522,0.367652
0.151885,0.220377,0.293602,0.425238,0.426703,0.389841,0.372536,0.352904,0.336370,0.334772,0.344689,0.372354,0.374679,0.364142,0.351523,0.367652
0.152283,0.220843,0.294190,0.426085,0.427461,0.390530,0.373155,0.353308,0.336750,0.335009,0.344932,0.372611,0.375025,0.364384,0.351822,0.367901
0.152280,0.220841,0.294187,0.426080,0.427455,0.390526,0.373152,0.353305,0.336748,0.335009,0.344932,0.372612,0.375026,0.364386,0.351824,0.367903
0.152287,0.220850,0.294197,0.426094,0.427468,0.390539,0.373164,0.353317,0.336759,0.335018,0.344941,0.372621,0.375035,0.364394,0.351832,0.367911
0.152285,0.220850,0.294196,0.426094,0.427465,0.390538,0.373164,0.353319,0.336761,0.335021,0.344944,0.372623,0.375039,0.364398,0.351836,0.367915
0.152254,0.220818,0.294159,0.426040,0.427410,0.390486,0.373119,0.353281,0.336727,0.334995,0.344921,0.372600,0.375016,0.364381,0.351817,0.367896
0.152259,0.220823,0.294165,0.426049,0.427418,0.390494,0.373127,0.353288,0.336733,0.335001,0.344926,0.372606,0.375022,0.364385,0.351822,0.367901
0.152203,0.220769,0.294094,0.425941,0.427305,0.390394,0.373041,0.353219,0.336674,0.334959,0.344889,0.372567,0.374988,0.364360,0.351796,0.367874
0.152208,0.220775,0.294100,0.425949,0.427313,0.390402,0.373049,0.353225,0.336680,0.334965,0.344895,0.372573,0.374994,0.364365,0.351801,0.367880
0.152212,0.220779,0.294105,0.425956,0.427321,0.390410,0.373055,0.353232,0.336686,0.334970,0.344899,0.372577,0.374998,0.364368,0.351804,0.367883
0.152214,0.220781,0.294108,0.425958,0.427323,0.390411,0.373057,0.353233,0.336687,0.334972,0.344901,0.372580,0.375000,0.364371,0.351806,0.367886
0.152194,0.220772,0.294080,0.425916,0.427252,0.390356,0.373013,0.353203,0.336657,0.334950,0.344879,0.372552,0.374983,0.364354,0.351788,0.367872
0.152193,0.220770,0.294078,0.425914,0.427250,0.390354,0.373012,0.353202,0.336655,0.334949,0.344877,0.372551,0.374983,0.364354,0.351788,0.367872
0.152195,0.220781,0.294087,0.425913,0.427243,0.390346,0.373007,0.353197,0.336654,0.334949,0.344881,0.372555,0.374993,0.364368,0.351808,0.367887
0.152200,0.220787,0.294091,0.425927,0.427253,0.390360,0.373020,0.353206,0.336663,0.334961,0.344897,0.372575,0.375015,0.364389,0.351831,0.367912
0.152258,0.220896,0.294210,0.426012,0.427326,0.390450,0.373122,0.353305,0.336774,0.335099,0.345046,0.372730,0.375169,0.364552,0.351987,0.368070
0.152347,0.221014,0.294355,0.426139,0.427443,0.390559,0.373234,0.353401,0.336873,0.335202,0.345151,0.372839,0.375281,0.364662,0.352102,0.368181
0.058238,0.093022,0.118584,0.130841,0.127459,0.125127,0.122770,0.122065,0.119925,0.124262,0.128123,0.133834,0.142419,0.140752,0.136508,0.138339
0.105280,0.143079,0.174106,0.193886,0.193093,0.190717,0.184268,0.174525,0.172161,0.175610,0.178035,0.185133,0.188809,0.184831,0.180852,0.184410
0.082514,0.112696,0.138860,0.181974,0.179085,0.173073,0.171302,0.170443,0.164943,0.157562,0.152436,0.150873,0.148884,0.143504,0.140297,0.140430
