0.444645,0.497164,0.425655,0.384086,0.503234,0.509140,0.517537,0.543647,0.499731,0.514825,0.525289,0.554432,0.553236,0.553219,0.563886,0.525728,0.510000,0.494803,0.465150,0.431605,0.417783,0.379380,0.365560,0.354517,0.364626,0.359696,0.349669,0.349115,0.348035,0.347662,0.344353,0.345433,0.345611,0.343370,0.344876,0.345146,0.341456,0.344328,0.337511,0.237502
0.503734,0.599144,0.485568,0.436964,0.599857,0.625238,0.643093,0.670440,0.650453,0.632514,0.633178,0.637998,0.637020,0.627663,0.607685,0.566611,0.535576,0.514118,0.484168,0.451191,0.437146,0.401089,0.392727,0.384457,0.391437,0.385001,0.378665,0.379856,0.380114,0.380782,0.377556,0.379038,0.379750,0.376375,0.376271,0.376005,0.373796,0.374078,0.364938,0.238980
0.388082,0.529763,0.409090,0.356569,0.450871,0.473606,0.486437,0.499614,0.452437,0.454406,0.444393,0.455270,0.448885,0.440454,0.439905,0.394272,0.368399,0.350338,0.330431,0.316649,0.314095,0.298114,0.300663,0.300700,0.305067,0.298012,0.295645,0.293549,0.292685,0.294149,0.291101,0.289827,0.290860,0.285872,0.283247,0.280970,0.275027,0.273849,0.264801,0.182411
0.373851,0.540474,0.414716,0.357926,0.442586,0.465430,0.475568,0.489731,0.447040,0.451739,0.439781,0.445629,0.440520,0.427773,0.426193,0.376768,0.350472,0.333016,0.314225,0.304082,0.301907,0.288469,0.290673,0.292331,0.293111,0.284552,0.281154,0.279227,0.278186,0.278964,0.276264,0.274393,0.274974,0.269364,0.266582,0.264950,0.259186,0.257541,0.249089,0.173038
0.425979,0.525172,0.405279,0.349629,0.455251,0.493477,0.509418,0.517982,0.502304,0.488501,0.483959,0.480083,0.472536,0.461873,0.448235,0.398728,0.372287,0.356605,0.338614,0.329389,0.327550,0.310140,0.311126,0.308905,0.308154,0.300438,0.298122,0.294401,0.292196,0.292264,0.289203,0.287596,0.288098,0.282424,0.279129,0.277251,0.272841,0.270219,0.261624,0.179166
0.347339,0.484821,0.366352,0.312933,0.388798,0.412480,0.422970,0.438870,0.408290,0.400802,0.388812,0.396347,0.396477,0.386828,0.380994,0.340556,0.318120,0.302383,0.285867,0.278112,0.276615,0.265635,0.270084,0.271734,0.272991,0.266878,0.265473,0.262953,0.261300,0.262611,0.259753,0.258160,0.259222,0.254605,0.252257,0.250520,0.245316,0.243515,0.234336,0.154558
0.217389,0.290388,0.230628,0.203377,0.268197,0.282924,0.293421,0.309978,0.288300,0.286045,0.279206,0.295004,0.299212,0.295748,0.291962,0.270008,0.265951,0.259214,0.261107,0.263419,0.263128,0.268616,0.278713,0.279920,0.281729,0.282027,0.282752,0.285685,0.285708,0.285366,0.285616,0.285946,0.286449,0.283236,0.279772,0.276324,0.272245,0.270791,0.262519,0.157680
0.157475,0.179707,0.133870,0.110026,0.139280,0.150324,0.156543,0.168052,0.168196,0.162582,0.157215,0.167418,0.177104,0.177766,0.178800,0.165815,0.161797,0.157595,0.154495,0.154457,0.152411,0.148766,0.151768,0.151428,0.151251,0.149601,0.150275,0.149311,0.148064,0.147597,0.146684,0.145411,0.145966,0.143987,0.143098,0.141338,0.138947,0.137114,0.132093,0.077786
0.135787,0.149402,0.110170,0.088639,0.101349,0.111313,0.113992,0.121715,0.130472,0.115059,0.109853,0.119957,0.137357,0.134922,0.136879,0.121206,0.122944,0.121106,0.119001,0.132556,0.133552,0.135971,0.136842,0.134575,0.131653,0.131569,0.132249,0.126473,0.122849,0.119138,0.117333,0.114280,0.114161,0.111935,0.110382,0.108972,0.106453,0.104402,0.102034,0.062586
0.106284,0.109813,0.078533,0.061046,0.075169,0.084574,0.089047,0.097377,0.108531,0.096733,0.092135,0.100895,0.112144,0.113210,0.113862,0.102088,0.100178,0.099362,0.099001,0.109532,0.110282,0.107064,0.106948,0.104492,0.102718,0.102941,0.103866,0.099709,0.096306,0.095063,0.093994,0.092265,0.091991,0.090564,0.089485,0.088179,0.086895,0.085804,0.083845,0.051188
0.084385,0.103477,0.083838,0.067577,0.074222,0.077977,0.080619,0.085621,0.086635,0.079898,0.075705,0.080911,0.086982,0.085343,0.087986,0.077786,0.080217,0.082589,0.085435,0.094454,0.096815,0.097702,0.099466,0.098785,0.097333,0.096537,0.097283,0.094053,0.092893,0.091269,0.091570,0.090589,0.091591,0.090291,0.089895,0.088931,0.087392,0.086114,0.084186,0.054332
0.083920,0.083645,0.069453,0.068696,0.080859,0.084103,0.087381,0.100611,0.096555,0.090955,0.092552,0.104272,0.106932,0.102118,0.102195,0.088557,0.086468,0.085062,0.081325,0.081150,0.079669,0.078214,0.077914,0.076669,0.075491,0.074177,0.072706,0.072392,0.072038,0.071183,0.071140,0.071584,0.071663,0.070916,0.070242,0.070882,0.071184,0.070527,0.069987,0.046327
0.039637,0.035576,0.031203,0.031098,0.044548,0.045276,0.045766,0.048784,0.048559,0.047164,0.046237,0.050779,0.053608,0.051926,0.049503,0.046749,0.049915,0.052261,0.052260,0.055161,0.054818,0.057001,0.057710,0.057657,0.056643,0.056254,0.055312,0.055069,0.054080,0.053172,0.052519,0.052110,0.051388,0.050816,0.050119,0.050066,0.049742,0.049678,0.049976,0.034544
0.026302,0.029350,0.028408,0.027983,0.038907,0.039015,0.038846,0.041707,0.040934,0.039196,0.038287,0.041565,0.043409,0.041075,0.038846,0.038125,0.039565,0.040786,0.040473,0.043500,0.043327,0.045005,0.046008,0.046410,0.045572,0.045667,0.045223,0.045184,0.044784,0.044257,0.043895,0.043583,0.042941,0.042355,0.041761,0.041570,0.041716,0.041291,0.040693,0.024559
0.079757,0.053993,0.035820,0.028253,0.037886,0.043801,0.047018,0.051039,0.061070,0.055414,0.053658,0.057750,0.067243,0.069808,0.068617,0.061700,0.059528,0.061239,0.064146,0.070624,0.071835,0.072103,0.073407,0.071655,0.072052,0.072254,0.072377,0.068679,0.065532,0.063982,0.062814,0.061249,0.059921,0.058882,0.058112,0.056485,0.055817,0.054620,0.052385,0.031157
0.061830,0.046520,0.037752,0.033232,0.041159,0.043330,0.045530,0.049089,0.054603,0.050082,0.049539,0.052618,0.059608,0.060937,0.060946,0.059166,0.065030,0.070377,0.075636,0.085360,0.088134,0.091909,0.094417,0.094067,0.093815,0.093705,0.092980,0.090952,0.089294,0.087830,0.086907,0.085405,0.084142,0.082995,0.081962,0.080406,0.079875,0.079125,0.077374,0.047355
