0.286715,0.476474,0.478153,0.477322,0.473787,0.477505,0.463811,0.458995,0.425572,0.399699,0.356963,0.364747,0.356393,0.339376,0.322144,0.317249,0.318938,0.313618,0.310766,0.309962,0.305223,0.303158,0.307957,0.307128,0.304595,0.302758,0.299524,0.298951,0.294148,0.293821,0.294922,0.296672,0.298938,0.302521,0.307753,0.308212
0.369808,0.684602,0.669648,0.677867,0.686819,0.685298,0.673168,0.667685,0.622543,0.586080,0.528563,0.534085,0.521691,0.492806,0.471433,0.463722,0.468815,0.459487,0.452398,0.447467,0.440549,0.439068,0.445489,0.443760,0.440753,0.436673,0.435639,0.436077,0.429880,0.428963,0.427671,0.431049,0.434608,0.440204,0.447191,0.444015
0.314966,0.682364,0.828819,0.831476,0.821678,0.809293,0.795348,0.791183,0.737052,0.695168,0.617540,0.628386,0.614307,0.592857,0.571784,0.555143,0.538052,0.523701,0.512448,0.504281,0.499029,0.495349,0.497024,0.496249,0.492574,0.490060,0.492191,0.492592,0.484597,0.484806,0.479741,0.481157,0.484489,0.492160,0.494259,0.476674
0.313097,0.701520,0.847320,0.857653,0.854555,0.844332,0.834801,0.831276,0.781794,0.738768,0.666866,0.676907,0.662147,0.638771,0.618904,0.599916,0.582514,0.563546,0.551184,0.541035,0.536211,0.531862,0.531703,0.529666,0.524986,0.520984,0.523714,0.523082,0.515768,0.515064,0.508952,0.509607,0.512994,0.520516,0.522615,0.502746
0.273754,0.703347,0.850728,0.878635,0.912748,0.908212,0.898434,0.896467,0.846157,0.805405,0.729110,0.734742,0.717896,0.685647,0.665941,0.643998,0.627983,0.604898,0.591297,0.574855,0.569807,0.565945,0.565747,0.562092,0.558029,0.550431,0.553614,0.553507,0.546747,0.545338,0.538164,0.540187,0.543357,0.552263,0.553798,0.539827
0.268782,0.695708,0.845646,0.875957,0.920452,0.919480,0.910261,0.909994,0.861608,0.821784,0.745298,0.749574,0.732925,0.699574,0.680233,0.657131,0.640580,0.617210,0.603521,0.585987,0.580518,0.576852,0.576158,0.571705,0.567621,0.559315,0.562393,0.562359,0.556142,0.554603,0.546997,0.549113,0.552419,0.561019,0.562080,0.548925
0.254502,0.676858,0.834244,0.867492,0.920380,0.926873,0.920341,0.922708,0.874163,0.836969,0.756130,0.760893,0.744744,0.708689,0.688860,0.664503,0.646023,0.621553,0.607017,0.587367,0.581553,0.577346,0.575235,0.569575,0.565552,0.556476,0.558554,0.558673,0.552307,0.550950,0.542990,0.545504,0.549512,0.557595,0.558469,0.546984
0.248281,0.672654,0.826029,0.860759,0.915900,0.923671,0.936398,0.938749,0.893556,0.859903,0.778600,0.785322,0.770896,0.731331,0.709413,0.685834,0.669339,0.645141,0.630489,0.608931,0.602561,0.597937,0.597154,0.591597,0.587781,0.577680,0.579108,0.578847,0.570381,0.569359,0.561133,0.563856,0.567669,0.576273,0.576957,0.566058
0.241005,0.650644,0.813511,0.849772,0.908616,0.919223,0.932244,0.939149,0.896712,0.865569,0.788365,0.794462,0.780186,0.741277,0.719971,0.693814,0.673016,0.647303,0.631904,0.608760,0.602434,0.597731,0.594930,0.588171,0.584000,0.573042,0.574200,0.573744,0.565484,0.564231,0.555504,0.558059,0.562126,0.570246,0.569714,0.558817
0.207738,0.593188,0.739452,0.781390,0.850246,0.853806,0.878385,0.885391,0.906798,0.870571,0.806062,0.810017,0.795512,0.762701,0.739348,0.715185,0.692170,0.672015,0.660421,0.639550,0.634350,0.631241,0.627537,0.621201,0.618449,0.608521,0.611633,0.611103,0.601911,0.600922,0.591656,0.592540,0.592581,0.597598,0.594173,0.576785
